entity_text,entity_type
台大,education
GOOGLE,education
201,education
台南國小,education
衛生局,education
健保局,education
疾管局,education
台大醫院,education
長庚,education
高雄大學,education
新寶,education
長庚醫院,education
新光三越,education
工會,education
大華,education
台中生物科技,education
扶輪社,education
高醫,education
台積電,education
大東醫院,education
成大,education
依必朗,education
義大,education
義大醫院,education
榮總,education
慈濟,education
社會局,education
國健局,education
奇美醫院,education
衛福部,education
奇美,education
富邦,education
遠雄,education
萊雅,education
四通,education
Prep,education
善化國小,education
泰國廠,education
印度廠,education
中央,education
電機所,education
清大電機所,education
化學系,education
凱宣,education
印度藥廠,education
