entity_text,entity_type
0.79,med_exam
88,med_exam
60,med_exam
20,med_exam
19,med_exam
2.6,med_exam
6.6,med_exam
8.3,med_exam
6.2,med_exam
21,med_exam
4,med_exam
1145,med_exam
500,med_exam
一半,med_exam
52,med_exam
一公斤,med_exam
3,med_exam
7.56,med_exam
35,med_exam
一,med_exam
兩,med_exam
三,med_exam
36．9度,med_exam
114/66,med_exam
622,med_exam
15,med_exam
6,med_exam
30,med_exam
12,med_exam
31,med_exam
9700,med_exam
10600,med_exam
10,med_exam
25,med_exam
20，20,med_exam
90,med_exam
100,med_exam
二點一二公分,med_exam
四點一公分,med_exam
四點多公分,med_exam
四週,med_exam
五百,med_exam
四十一,med_exam
十九,med_exam
五千五,med_exam
一萬五千,med_exam
二六,med_exam
140,med_exam
150,med_exam
120,med_exam
13.7,med_exam
17.1,med_exam
一百多,med_exam
121,med_exam
29,med_exam
17,med_exam
2540,med_exam
11/29,med_exam
八公斤,med_exam
幾公斤,med_exam
75,med_exam
63,med_exam
十公斤,med_exam
63公斤,med_exam
四,med_exam
一七,med_exam
一七五,med_exam
七十三,med_exam
九,med_exam
五,med_exam
十四,med_exam
七十五,med_exam
一二五,med_exam
78362,med_exam
0.2,med_exam
62公斤,med_exam
62,med_exam
173公分,med_exam
263,med_exam
200多,med_exam
兩百,med_exam
84,med_exam
294,med_exam
0.83,med_exam
87,med_exam
6.7,med_exam
六十八,med_exam
625,med_exam
十六,med_exam
八,med_exam
72公斤,med_exam
1107,med_exam
1106.5,med_exam
89,med_exam
7382,med_exam
28,med_exam
170,med_exam
180,med_exam
半,med_exam
百,med_exam
130,med_exam
59,med_exam
55,med_exam
162,med_exam
497,med_exam
700多,med_exam
一次,med_exam
0．125,med_exam
四十,med_exam
四十三,med_exam
九點一,med_exam
七十一,med_exam
三合一,med_exam
十三,med_exam
二十三,med_exam
二十五,med_exam
0．42,med_exam
2．1,med_exam
935,med_exam
六,med_exam
七成,med_exam
9.53,med_exam
690,med_exam
874,med_exam
901,med_exam
256,med_exam
200,med_exam
195,med_exam
172,med_exam
8353,med_exam
4五百九十三,med_exam
五百九十三,med_exam
四百,med_exam
一千六,med_exam
一千,med_exam
一千七,med_exam
63554,med_exam
10幾,med_exam
400多,med_exam
455,med_exam
7.5,med_exam
98,med_exam
2750,med_exam
五萬,med_exam
0.5,med_exam
67.5,med_exam
四公斤,med_exam
三公斤,med_exam
68,med_exam
61,med_exam
一兩公斤,med_exam
1/3,med_exam
7/3,med_exam
23343,med_exam
九十公斤,med_exam
53,med_exam
48,med_exam
R334666726,med_exam
23,med_exam
1.2000CC,med_exam
3.4,med_exam
237,med_exam
6月15,med_exam
477,med_exam
好幾千,med_exam
幾百,med_exam
二十,med_exam
一百零四,med_exam
一百一十五,med_exam
一點四,med_exam
四十二,med_exam
一百二十八,med_exam
一百,med_exam
188,med_exam
十一萬,med_exam
十五萬,med_exam
兩百多,med_exam
兩百零七,med_exam
十五,med_exam
十,med_exam
10cc,med_exam
三百,med_exam
8,med_exam
1、2,med_exam
38.2,med_exam
37.9,med_exam
379,med_exam
有一次,med_exam
139,med_exam
160ml,med_exam
二,med_exam
2.5,med_exam
0,med_exam
58,med_exam
175,med_exam
174,med_exam
270,med_exam
3452,med_exam
