entity_text,entity_type
年底,time
今天,time
今年,time
這學期,time
昨天,time
四個月,time
三個月,time
中午,time
12天,time
三個星期,time
55到57,time
兩個月,time
一天,time
今天早上,time
早上,time
前天,time
禮拜二,time
禮拜三,time
8月13號,time
半年,time
31歲,time
四月,time
9000幾,time
10月25號,time
10月,time
11月初,time
一個月,time
14號,time
10月14號,time
25號,time
下個月,time
9月24號,time
七個禮拜,time
七月三十一號,time
九月,time
前兩週,time
下週,time
一個禮拜,time
四個禮拜,time
兩個禮拜,time
這幾天,time
兩,time
傍晚,time
小夜,time
好幾個月,time
一、兩個月,time
一年,time
8月,time
4個月,time
一月,time
二月,time
明年三月,time
三月,time
上個禮拜三,time
3月2號,time
一個月後,time
第六個月,time
十二月,time
二月十五號,time
56387,time
4月,time
14幾15幾,time
上個禮拜,time
這禮拜,time
早中晚,time
那天,time
禮拜六,time
禮拜四,time
這個禮拜,time
晚上,time
上禮拜,time
九個小時,time
八個小時,time
三,time
四十歲,time
兩三年前,time
2013年,time
好幾年,time
快四年,time
2013,time
下禮拜,time
禮拜五的早上,time
禮拜五,time
11月30號,time
當天,time
幾個月,time
8月23日,time
上個禮拜五,time
一號,time
下個禮拜,time
前年,time
九月份,time
十四,time
七十八,time
去年,time
明年,time
這兩個禮拜,time
11月,time
兩個禮拜後,time
11月20號,time
47，42,time
過年前,time
今年的年底,time
元月,time
2月2號,time
1年,time
3個月,time
2月16號,time
9/15,time
五月月份,time
五月份,time
昨天的晚上,time
下午,time
六十八,time
這個禮拜三,time
下個禮拜三,time
下禮拜三,time
三天,time
七天,time
禮拜六的凌晨,time
四，一天,time
禮拜一,time
那一天,time
禮拜天的早上,time
下禮拜一,time
兩天,time
禮拜天,time
下下禮拜,time
這個禮拜四,time
星期四,time
下下個禮拜,time
禮拜,time
1107,time
6/14,time
這半年,time
三個禮拜後,time
前兩個禮拜,time
冬天,time
快一個禮拜多,time
五點,time
一個小時六點,time
六月份,time
2個小時,time
12月,time
幾年,time
一個小時,time
5、6個小時,time
半年前,time
0點,time
三個禮拜後的禮拜四,time
10月12號,time
八十九,time
六十五歲以後,time
六十五歲以下,time
半年、一年,time
今年初,time
明年初,time
七月,time
7月19號,time
2月初,time
7月19,time
2月,time
2月下半,time
明年的2月下半,time
下半月,time
2月25號,time
三、四天,time
十一月,time
這個月,time
年度,time
去年的年初,time
今年年底,time
去年年底,time
今年年初,time
八月,time
8月20號,time
下次半年,time
九月、十月,time
二月底,time
二月二十五,time
十二週,time
十二點,time
三個禮拜,time
R103846354,time
41358,time
五十歲,time
舊曆年底,time
過年後,time
下下禮拜三,time
上星期二,time
星期二,time
上禮拜五,time
正午,time
九歲,time
十五歲,time
E184666204,time
二十八歲,time
二零一六年,time
十一月十八號,time
九月二十三號,time
明年的二月底,time
5分鐘,time
白天,time
5年,time
下次1月,time
幾天,time
最近兩個月,time
這一兩個月,time
一兩個月,time
這兩個月,time
10月13號,time
11月17，,time
五天,time
三年多,time
10月16號,time
前兩天,time
六點,time
八點,time
阿一個禮拜,time
三點,time
1月15號,time
1月20號,time
1月10,time
1月26號,time
一整天,time
1月20,time
10號,time
10月15號,time
11月18號,time
12月7號,time
12月16,time
明天的早上,time
18,time
10分鐘,time
一天晚上,time
早上八點半,time
八點半,time
六點半到七點,time
10月19號,time
一百零四,time
、兩年,time
十二月底,time
十月十二號,time
十一月十二號,time
二十天,time
過年,time
三到四個月,time
二十一天,time
十一月十九號,time
兩年,time
3/11,time
5/24,time
4/23,time
七月初,time
六月,time
五月,time
四月三號,time
快一年,time
10月5號,time
4月8號,time
上次三個月,time
90天,time
七點,time
這兩天,time
四、五點,time
前一年,time
8月底,time
5點到9點,time
下午的5點,time
這三個月,time
下個禮拜五,time
10/15,time
早上一顆晚上,time
14天,time
7天,time
早上兩個晚上,time
28天,time
12個小時,time
那幾天,time
八月七號,time
七百二一天,time
三百一天,time
禮拜一的晚上,time
二十四小時,time
今天的早上,time
明天,time
三四五,time
六日,time
五六點,time
十二點多,time
十八日,time
今天到中午,time
十一點多,time
二十八天,time
上個禮拜一,time
二三四五,time
四天,time
上個,time
七夕,time
5天,time
7月,time
7月10號,time
9點11分到13點16分,time
7月16號,time
10點55分,time
晚上的21點03分,time
7月23號,time
7月30號,time
8月3號,time
昨天晚上,time
三點半,time
兩週,time
十四天,time
7月24號,time
7月20號,time
五,time
兩個小時,time
前一兩天,time
隔天,time
八月十五號,time
八月十。,time
一、二月,time
禮拜三下午,time
這禮拜三,time
2/10,time
前三天,time
三到五年,time
第二年,time
五月十一,time
一晚上,time
半個小時,time
三、四點,time
11/23,time
23號,time
今年前,time
29號,time
上上個星期,time
上星期,time
上星期六,time
下下個禮拜二,time
八年多,time
八年,time
這兩、三個禮拜,time
兩、三個禮拜,time
這三個禮拜,time
11月8號,time
11月25號,time
6月15號,time
下禮拜五,time
下個禮拜四,time
下禮拜四,time
8月22,time
第四天,time
八十五,time
十二個小時,time
前四天,time
六、日,time
今天晚上,time
今天下午,time
六、日兩天,time
14禮拜一,time
12號,time
7/12,time
7/15,time
7/13,time
7/14,time
16,time
18號,time
19、20,time
15的早上,time
15早上,time
早上八點,time
上禮拜六,time
禮拜六早上,time
禮拜六的晚上,time
明天早上,time
禮拜二的早上,time
四點多,time
八,time
三十幾年前,time
三十年,time
一個禮拜內,time
6天,time
上個月,time
九月七號,time
這一、兩個禮拜,time
今天清晨,time
今天清晨兩點半,time
一、兩個禮拜,time
半年、一年後,time
半夜,time
五、六年,time
九點,time
十點,time
十點半,time
兩點,time
早上六點,time
9月4號,time
11月9號,time
過完年,time
50歲以上,time
7月5號,time
2個月,time
七月十五號,time
一、兩點,time
五月十號,time
四個多月,time
五個月,time
六個月,time
223640298,time
下次年底,time
一兩天,time
兩天三天,time
11月25,time
2015,time
2015年,time
2017過兩年,time
2017,time
一、二天,time
四月份,time
六月中,time
一年以上,time
後天,time
七月十八號,time
六個禮拜,time
五、六個禮拜,time
1287394675,time
一大早,time
八十八歲,time
五年,time
九月三號,time
五十九,time
秋天,time
四年,time
七年,time
6月16,time
5月,time
五週,time
5點,time
幾月,time
兩點半,time
兩年多前,time
9點幾,time
8點幾,time
這一個月,time
四點八,time
開兩個禮拜,time
十一月二十五號,time
8點,time
11點半,time
3～4天,time
3、40分鐘,time
2點到4點,time
7點,time
6點半,time
清晨,time
2點半後到4點,time
9點半,time
1點,time
3、4點,time
5點、6點,time
晚上10點,time
3點,time
清晨大約6點,time
3點，1點半,time
1點半,time
10點半,time
11點,time
清晨6點,time
6個小時,time
7個小時,time
一、兩年,time
10點多,time
早上6點,time
10幾年前,time
6.7年,time
前半年,time
4個禮拜,time
四十二歲,time
五十歲以上,time
十一月十五號,time
十一月十五,time
七十八點二,time
八月三十一號,time
這一年,time
年初,time
隔三個月,time
二月五號,time
三個禮拜前,time
前兩個小時,time
24小時,time
48小時,time
前幾天,time
7月份,time
兩小時,time
十二小時,time
10月7號,time
10點,time
晚8點,time
二十幾歲,time
10月20到11月1號,time
2月17號,time
兩三年過後,time
今天晚上十點,time
二到二十四小時,time
四十八小時,time
這一天,time
十一點,time
五號,time
幾年前,time
五月三號,time
十二月份,time
5月20，5月21，5月22，5月,time
9月19號8點,time
10月20號,time
9月,time
1號,time
3小時,time
3天,time
2個24小時,time
第一個月,time
下一個月,time
一兩個小時,time
兩三天,time
七天以上,time
五六,time
這七天,time
後兩天,time
3秒,time
快兩年,time
兩年多,time
6月份,time
7月17號,time
7月17，8月,time
一個半月,time
84天,time
11月21號,time
10月17號,time
這個年底,time
一個禮拜一,time
一天隔天,time
第一天,time
昨天的早上,time
5、6點多,time
這一個禮拜,time
69,time
11月2號,time
3年,time
211,time
2到24小時,time
9點,time
11月3號,time
11月4號,time
禮拜五隔天,time
11月10號的9點,time
9號,time
11月5號,time
晚9點,time
11月6號,time
11月7號的晚上,time
11月11號,time
11月12號,time
73846,time
三年,time
9月28號到10月12號,time
晚上的8點,time
兩週到六週,time
明年的3月7號,time
中秋節,time
中秋,time
12月底,time
11月底,time
一月五號,time
一天前,time
12月7號到22號,time
7號,time
22號,time
三天後,time
兩個多月,time
二十三號到七號,time
四年多,time
17歲,time
兩個月後,time
半年後,time
明年的3月,time
過幾個月,time
三個月後,time
5個月,time
0，2,time
8月9號,time
一天後,time
八周,time
八個禮拜,time
0號,time
十二月三號,time
十二月五號,time
十月,time
十月底,time
四週,time
十一月二十三號,time
十一月二十三,time
一個禮拜四,time
十一月二十九,time
一週,time
二十五號,time
十一月二十五日,time
十二月四號,time
二十九,time
五六日,time
禮拜日,time
下一天,time
禮拜天的晚上,time
上周,time
第五個月,time
夏天,time
一年之前,time
清明節,time
這一年內,time
第一個禮拜,time
7月底,time
過幾天,time
三月初,time
七月底,time
四是早上,time
五的早上,time
十月七號,time
前一天,time
十月十號,time
國慶日,time
九號,time
下禮拜二,time
一年後,time
今天五點,time
兩三年,time
四五個月,time
13周,time
12周,time
1月10號,time
跨年,time
1月1號,time
一個早上,time
兩三個小時,time
半夜三點,time
六周,time
兩年後,time
那三個月,time
年底前,time
三四個禮拜,time
兩個禮拜前,time
四到七周,time
九月三十,time
月底,time
九月二十幾號,time
三十號,time
前兩小時,time
一個月前,time
兩、三個月,time
三、四個月,time
1天後,time
1天,time
晚上7點,time
5月底,time
今年度,time
過去這幾年,time
一個多月,time
一,time
整個月,time
第二個月,time
明年度,time
兩個禮拜到一個月,time
三週,time
九月十四,time
禮拜三早上,time
禮拜二早上,time
這禮拜一,time
九月十號,time
第三個月,time
