article_id	start_position	end_position	entity_text	entity_type
0	2332	2334	禮拜一	time
2	980	981	兩天	time
3	265	267	16號	time
3	609	610	一年	time
3	2250	2253	106年	time
4	7	11	6月14號	time
4	880	882	林醫師	name
5	2437	2440	6月6號	time
9	35	36	五月	time
10	71	72	74	med_exam
10	262	265	四個禮拜	time
10	537	540	十月六號	time
11	1233	1235	兩個月	time
14	476	478	2個月	time
14	621	623	這個月	time
14	662	663	4月	time
14	1396	1397	9月	time
14	1400	1403	9月20	time
16	235	238	六個禮拜	time
16	257	260	六個禮拜	time
21	1107	1109	一個月	time
22	6	8	王醫師	name
22	981	983	四個月	time
22	989	991	四個月	time
22	2736	2738	王醫師	name
23	6	8	王醫師	name
23	57	59	王醫師	name
23	576	578	王醫師	name
23	636	638	王醫師	name
23	1756	1758	王醫師	name
26	15	16	5月	time
28	30	31	一年	time
29	215	216	一年	time
31	1804	1805	今天	time
32	2211	2213	三個月	time
34	2830	2831	半年	time
34	2946	2950	1000塊	money
34	4425	4426	早上	time
34	4495	4497	禮拜五	time
35	4854	4862	500塊和600塊	money
36	78	81	Line	contact
36	586	589	第七個月	time
40	846	847	今天	time
43	762	764	禮拜五	time
43	862	865	兩個禮拜	time
44	1787	1789	下禮拜	time
45	646	648	兩個月	time
45	665	667	兩個月	time
45	920	925	11月30號	time
46	972	973	今天	time
46	3009	3011	134	med_exam
49	3338	3340	許醫師	name
49	4778	4779	小美	name
50	129	132	7月17	time
51	1263	1265	1月份	time
51	1283	1285	1月份	time
51	1523	1527	1月16號	time
51	5574	5580	2020年5月	time
52	1602	1606	8月20號	time
54	567	572	十二月二十二	time
55	128	130	一個月	time
56	2207	2211	二十五禮拜	time
57	509	510	一年	time
57	746	749	三個禮拜	time
59	30	32	禮拜二	time
59	491	493	林醫師	name
59	615	617	王醫師	name
59	1027	1029	王醫師	name
60	1411	1412	早上	time
60	2028	2029	85	med_exam
60	2034	2037	1996	med_exam
60	2456	2460	6月15號	time
61	2051	2053	禮拜三	time
61	2129	2134	11月12號	time
62	300	301	一年	time
67	678	680	王醫師	name
67	812	815	LINE	contact
67	881	883	王醫師	name
67	1251	1252	早上	time
