entity_text,entity_type
哥哥,family
叔叔,family
我爸爸,family
我爸,family
大伯,family
爸爸,family
姐姐,family
大姊,family
大姊,family
二女兒,family
小女兒,family
老三,family
老三,family
爸爸,family
爸爸,family
兒子,family
兒子,family
兒子,family
兒子,family
親戚,family
外公,family
外公,family
外公,family
外公,family
表姊,family
哥哥,family
叔叔,family
我爸爸,family
我爸,family
大伯,family
爸爸,family
姐姐,family
大姊,family
大姊,family
二女兒,family
小女兒,family
老三,family
老三,family
爸爸,family
爸爸,family
兒子,family
兒子,family
兒子,family
兒子,family
親戚,family
外公,family
外公,family
外公,family
外公,family
表姊,family
孫子,family
爺爺,family
媽媽,family
媽媽,family
阿公,family
爺爺,family
爸,family
姊姊,family
我媽,family
我弟弟,family
媽媽,family
姊姊,family
兒子,family
媽媽,family
女兒,family
哥哥,family
哥哥,family
大哥,family
姑姑,family
姑姑,family
姑姑,family
姑姑,family
姑姑,family
姑姑,family
爺爺奶奶,family
