entity_text,entity_type
打撲克牌,profession
保險,profession
Google,profession
Google,profession
公務,profession
Google,profession
教授,profession
教授,profession
肝膽科,profession
肝膽科,profession
肝膽,profession
ubereats,profession
ubereats,profession
保險,profession
工程師,profession
Google,profession
Google,profession
公務,profession
Google,profession
教授,profession
教授,profession
肝膽科,profession
肝膽科,profession
肝膽,profession
ubereats,profession
ubereats,profession
保險,profession
工程師,profession
送報紙,profession
飲料店,profession
送牛奶,profession
水餃店,profession
水餃店,profession
水餃,profession
八方,profession
八方,profession
工地,profession
工地,profession
工地,profession
工地,profession
矽晶圓,profession
矽晶圓,profession
外資,profession
外資,profession
替代役,profession
替代役,profession
替代役,profession
急診,profession
ＥＣＭ,profession
學校,profession
金融業,profession
金融業,profession
銀行員,profession
消防員,profession
消防員,profession
老師,profession
打撲克牌,profession
