entity_text,entity_type
國立臺灣大學,education
國立中興大學,education
國立臺灣師範大學,education
國立成功大學,education
國立政治大學,education
國立臺北大學,education
國立清華大學,education
國立交通大學,education
國立中央大學,education
國立臺灣海洋大學,education
國立高雄師範大學,education
國立彰化師範大學,education
國立陽明大學,education
國立中山大學,education
國立中正大學,education
國立宜蘭大學,education
國立臺北教育大學,education
國立臺北藝術大學,education
國立臺東大學,education
國立體育大學,education
國立臺南大學,education
國立臺中教育大學,education
國立臺灣藝術大學,education
國立東華大學,education
國立暨南國際大學,education
國立臺灣體育運動大學,education
國立臺南藝術大學,education
國立聯合大學,education
國立嘉義大學,education
國立高雄大學,education
國立金門大學,education
臺北市立大學,education
國立屏東大學,education
東吳大學,education
高雄醫學大學,education
東海大學,education
中原大學,education
淡江大學,education
中國醫藥大學,education
臺北醫學大學,education
輔仁大學,education
逢甲大學,education
中國文化大學,education
靜宜大學,education
大同大學,education
中山醫學大學,education
義守大學,education
長庚大學,education
元智大學,education
銘傳大學,education
華梵大學,education
中華大學,education
大葉大學,education
世新大學,education
實踐大學,education
長榮大學,education
真理大學,education
慈濟大學,education
南華大學,education
玄奘大學,education
開南大學,education
佛光大學,education
台灣首府大學,education
康寧大學,education
亞洲大學,education
明道大學,education
中信金融管理學院,education
馬偕醫學院,education
法鼓文理學院,education
國立臺灣科技大學,education
國立臺北科技大學,education
國立雲林科技大學,education
國立屏東科技大學,education
國立虎尾科技大學,education
國立高雄餐旅大學,education
國立臺中科技大學,education
國立勤益科技大學,education
國立澎湖科技大學,education
國立臺北商業大學,education
國立臺北護理健康大學,education
國立高雄科技大學,education
國立臺灣戲曲學院,education
國立臺南護理專科學校,education
國立臺東專科學校,education
朝陽科技大學,education
崑山科技大學,education
嘉南藥理大學,education
南臺科技大學,education
輔英科技大學,education
台南應用科技大學,education
明新科技大學,education
弘光科技大學,education
敏實科技大學,education
樹德科技大學,education
中臺科技大學,education
龍華科技大學,education
高苑科技大學,education
景文科技大學,education
明志科技大學,education
嶺東科技大學,education
元培醫事科技大學,education
正修科技大學,education
建國科技大學,education
大仁科技大學,education
文藻外語大學,education
遠東科技大學,education
聖約翰科技大學,education
中華醫事科技大學,education
中華科技大學,education
萬能科技大學,education
慈濟科技大學,education
育達科技大學,education
健行科技大學,education
僑光科技大學,education
吳鳳科技大學,education
中國科技大學,education
德明財經科技大學,education
修平科技大學,education
醒吾科技大學,education
致理科技大學,education
美和科技大學,education
中州科技大學,education
東南科技大學,education
臺北城市科技大學,education
環球科技大學,education
南開科技大學,education
宏國德霖科技大學,education
長庚科技大學,education
東方設計大學,education
崇右影藝科技大學,education
華夏科技大學,education
台北海洋科技大學,education
大漢技術學院,education
和春技術學院,education
亞東技術學院,education
南亞技術學院,education
蘭陽技術學院,education
經國管理暨健康學院,education
黎明技術學院,education
大同技術學院,education
臺灣觀光學院,education
仁德醫護管理專科學校,education
馬偕醫護管理專科學校,education
慈惠醫護管理專科學校,education
樹人醫護管理專科學校,education
耕莘健康管理專科學校,education
育英醫護管理專科學校,education
敏惠醫護管理專科學校,education
新生醫護管理專科學校,education
聖母醫護管理專科學校,education
崇仁醫護管理專科學校,education
中華民國海軍軍官學校,education
中華民國空軍軍官學校,education
中華民國陸軍軍官學校,education
中央警察大學,education
國防大學,education
國防醫學院,education
空軍航空技術學院,education
臺灣警察專科學校,education
陸軍專科學校,education
基督教台灣浸會神學院,education
臺北基督學院,education
一貫道天皇學院,education
台灣神學研究學院,education
一貫道崇德學院,education
台灣基督長老教會南神神學院,education
玉山神學院,education
中臺神學院,education
三育基督學院,education
聖光神學院,education
聖德基督學院,education
台灣浸信宣道會神學院,education
中華福音神學院,education
中華信義神學院,education
輔仁聖博敏神學院,education
佛光山叢林學院,education
神召神學院,education
靈糧教牧宣教神學院,education
天主教臺灣總修院,education
法鼓山僧伽大學,education
崇德基督書院,education
中華道教學院,education
佛教弘誓學院,education
台灣正道福音神學院,education
衛理神學研究院,education
改革宗神學院,education
華嚴專宗學院,education
拿撒勒人神學院,education
道生神學院,education
倍加神學院,education
明道神學院,education
美嘉基督書院,education
真道神學院,education
台灣宣道神學院,education
佳音神學院,education
寧法神學院,education
台灣白石神學院,education
國立空中大學,education
高雄市立空中大學,education
臺灣大學,education
中興大學,education
臺灣師範大學,education
成功大學,education
政治大學,education
臺北大學,education
清華大學,education
交通大學,education
中央大學,education
臺灣海洋大學,education
高雄師範大學,education
彰化師範大學,education
陽明大學,education
中山大學,education
中正大學,education
宜蘭大學,education
臺北教育大學,education
臺北藝術大學,education
臺東大學,education
體育大學,education
臺南大學,education
臺中教育大學,education
臺灣藝術大學,education
東華大學,education
暨南國際大學,education
臺灣體育運動大學,education
臺南藝術大學,education
聯合大學,education
嘉義大學,education
高雄大學,education
金門大學,education
屏東大學,education
臺灣科技大學,education
臺北科技大學,education
雲林科技大學,education
屏東科技大學,education
虎尾科技大學,education
高雄餐旅大學,education
臺中科技大學,education
勤益科技大學,education
澎湖科技大學,education
