x,y
"['民', '眾', '：', '然', '後', '下', '次', '就', 'Q', '型', '流', '感']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event']"
"['D', 'H', 'F']","['B-clinical_event', 'I-clinical_event', 'I-clinical_event']"
"['那', '時', '候', '還', '沒', '有', '那', '個', '嚴', '重', '急', '性', '呼', '吸', '道', '症', '候', '群']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event']"
"['就', '像', '大', '家', '在', '弄', '這', '個', 'C', 'S', 'D']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event']"
"['那', '時', '候', '還', '沒', '有', '那', '個', '性', '偏', '好', '障', '礙']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event']"
"['H', 'D']","['B-clinical_event', 'I-clinical_event']"
"['那', '時', '候', '還', '沒', '有', '那', '個', 'Z', 'A', 'P', '-', '7', '0', ' ', 'd', 'e', 'f', 'i', 'c', 'i', 'e', 'n', 'c', 'y']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event']"
"['傷', '寒']","['B-clinical_event', 'I-clinical_event']"
"['醫', '師', '：', '那', '時', '候', '在', '做', '社', '交', '恐', '懼', '症']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event']"
"['那', '時', '候', '還', '沒', '有', '那', '個', 'J', 'E']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event']"
"['那', '時', '候', '還', '沒', '有', '那', '個', 'C', 'R', 'P', 'S']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event']"
"['就', '像', '大', '家', '在', '弄', '這', '個', 'M', 'M', 'A']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event']"
"['民', '眾', '：', '然', '後', '下', '次', '就', 'A', 'S', 'D']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event']"
