x,y
"['嗯', '⋯', '⋯', '就', '是', 'F', 'a', 'c', 'e', 'b', 'o', 'o', 'k']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['民', '眾', '：', 'T', 'i', 'n', 'd', 'e', 'r', '是', '哪', '一', '個', '啊']","['O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O']"
"['個', '管', '師', '：', '那', '如', '果', '還', '有', '其', '他', '的', '情', '況', '的', '話', '你', '在', 'F', 'B', '上', '面', '詢', '問']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'O', 'O', 'O', 'O']"
"['你', '有', '任', '何', '問', '題', '就', '可', '以', '在', 'f', 'b', '上', '詢', '問']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'O', 'O', 'O']"
"['個', '管', '師', '：', '那', '如', '果', '還', '有', '其', '他', '的', '情', '況', '的', '話', '你', '在', 't', 'w', 'i', 't', 't', 'e', 'r', '上', '面', '詢', '問']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O']"
"['L', 'I', 'N', 'E']","['B-contact', 'I-contact', 'I-contact', 'I-contact']"
"['你', '有', '任', '何', '問', '題', '就', '可', '以', '在', 'L', 'I', 'N', 'E', '上', '詢', '問']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O']"
"['用', 'T', 'w', 'i', 't', 't', 'e', 'r']","['O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['有', '時', '候', '因', '爲', '我', '們', '跟', 'P', 'l', 'u', 'r', 'k', '有', '一', '些', '合', '作', '啦']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O']"
"['個', '管', '師', '：', '他', '會', '發', 'P', 'l', 'u', 'r', 'k', '給', '我', '們', '⋯', '⋯', '民', '眾', '：', '嗯']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['你', '下', '下', '禮', '拜', '再', '臉', '書', '我', '們', '問', '報', '告']","['O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O']"
"['F', 'a', 'c', 'e', 'b', 'o', 'o', 'k', '跟', '那', '個']","['B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O']"
"['醫', '師', '：', 'L', 'I', 'N', 'E', '用', '最', '多']","['O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O']"
"['用', 'F', 'a', 'c', 'e', 'b', 'o', 'o', 'k']","['O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['G', 'r', 'i', 'n', 'd', 'r', '喔', 'G', 'r', 'i', 'n', 'd', 'r', '喔']","['B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['是', '因', '為', '它', 'H', 'o', 'r', 'n', 'e', 't', '回', '來', '的', '時', '候', '是', '用', '英', '文', '名', '字']","['O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['用', 'H', 'o', 'r', 'n', 'e', 't']","['O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['民', '眾', '：', 't', 'w', 'i', 't', 't', 'e', 'r', '就', '是', '⋯', '⋯', '沒', '有']","['O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O']"
"['你', '下', '下', '禮', '拜', '再', 'F', 'a', 'c', 'e', 'b', 'o', 'o', 'k', '我', '們', '問', '報', '告']","['O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', 'T', 'i', 'n', 'd', 'e', 'r']","['O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['個', '管', '師', '：', '那', '如', '果', '還', '有', '其', '他', '的', '情', '況', '的', '話', '你', '在', 'H', 'o', 'r', 'n', 'e', 't', '上', '面', '詢', '問']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O']"
"['個', '管', '師', '：', '所', '以', '你', '你', '在', 'G', 'r', 'i', 'n', 'd', 'r', '上', '面', '問', '我', '說', '是', '不', '是', '第', '4', '瓶', '是', '你', '還', '看', '你', '要', '看', '要', '不', '要', '吃']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '比', '較', '差', '的', '是', '我', '在', '那', '個', 'f', 'b', '上', '面', '的', '那', '個', '時', '候']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['用', 'T', 'i', 'n', 'd', 'e', 'r']","['O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['誒', '你', '留', '一', '下', '你', '的', 'e', '-', 'm', 'a', 'i', 'l']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['所', '以', '那', '要', '發', '付', '款', '的', 'T', 'w', 'i', 't', 't', 'e', 'r', '帳', '號']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O']"
"['我', '們', 'e', '-', 'm', 'a', 'i', 'l', '有', '時', '候', '會', '有', '一', '些', '那', '個']","['O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['G', 'r', 'i', 'n', 'd', 'r']","['B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['有', '時', '候', '因', '爲', '我', '們', '跟', 'e', '-', 'm', 'a', 'i', 'l', '有', '一', '些', '合', '作', '啦']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', 'F', 'a', 'c', 'e', 'b', 'o', 'o', 'k']","['O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['所', '以', '那', '要', '發', '付', '款', '的', 'G', 'r', 'i', 'n', 'd', 'r', '帳', '號']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O']"
"['e', '-', 'm', 'a', 'i', 'l']","['B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['然', '後', '有', '任', '何', '問', '題', '就', '在', 'L', 'I', 'N', 'E', '上', '詢', '問']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'O', 'O', 'O']"
"['醫', '師', '：', '用', 'T', 'w', 'i', 't', 't', 'e', 'r']","['O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['它', '就', '會', 'f', 'b', '給', '我', '們', '…', '…', '民', '眾', '：', '恩', '恩']","['O', 'O', 'O', 'B-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['T', 'i', 'n', 'd', 'e', 'r']","['B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['是', '因', '為', '它', '臉', '書', '回', '來', '的', '時', '候', '是', '用', '英', '文', '名', '字']","['O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
