x,y
"['也', '一', '樣', '在', '台', '北', '基', '督', '學', '院', '森', '林', '環', '境', '暨', '資', '源']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '大', '同', '大', '學', '生', '物', '機', '電', '工', '程']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '中', '信', '金', '融', '管', '理', '學', '院', '工', '商', '管', '理']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['也', '一', '樣', '在', '南', '亞', '技', '術', '學', '院', '地', '理', '環', '境', '資', '源', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['也', '一', '樣', '在', '天', '主', '教', '臺', '灣', '總', '修', '院', '大', '氣', '科']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '屏', '東', '科', '技', '大', '學', '學', '士', '後', '護', '理', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '國', '立', '臺', '北', '大', '學', '獸', '醫']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '國', '立', '空', '中', '大', '學', '醫', '學', '檢', '驗', '暨', '生', '物', '技', '術', '學', '系']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '環', '球', '科', '技', '大', '學', '農', '藝', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['也', '一', '樣', '在', '國', '立', '臺', '北', '科', '技', '大', '學', '牙', '醫']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '臺', '北', '護', '理', '健', '康', '大', '學', '資', '訊', '管', '理']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '實', '踐', '大', '學', '會', '計', '學', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['也', '一', '樣', '在', '樹', '人', '醫', '護', '管', '理', '專', '科', '學', '校', '外', '國', '語', '文', '學', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '台', '灣', '警', '察', '專', '科', '學', '校', '生', '物', '產', '業', '傳', '播', '暨', '發', '展', '學', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['醫', '師', '：', '南', '亞', '技', '術', '學', '院', '牙', '醫']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '蘭', '陽', '技', '術', '學', '院', '農', '藝', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '清', '華', '化', '工', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['醫', '師', '：', '國', '立', '台', '北', '護', '理', '健', '康', '大', '學', '工', '商', '管', '理', '學', '系']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '耕', '莘', '健', '康', '管', '理', '專', '科', '學', '校', '士', '後', '護', '理']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '台', '北', '市', '立', '大', '學', '經', '濟']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '宜', '蘭', '大', '學', '法', '律', '學', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['也', '一', '樣', '在', '文', '藻', '外', '語', '大', '學', '生', '物', '環', '境', '系', '統', '工', '程']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '國', '立', '臺', '灣', '大', '學', '護', '理']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '聯', '合', '地', '質', '科', '系']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '樹', '人', '醫', '護', '管', '理', '專', '科', '學', '校', '機', '械', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['也', '一', '樣', '在', '東', '吳', '大', '學', '生', '化', '科', '技']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '一', '貫', '道', '崇', '德', '學', '院', '日', '本', '語', '文']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '輔', '仁', '大', '學', '獸', '醫', '學', '系']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['也', '一', '樣', '在', '加', '州', '柏', '克', '萊', '資', '管']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['也', '一', '樣', '在', '臺', '灣', '師', '範', '大', '學', '電', '機', '工', '程']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '國', '立', '臺', '北', '科', '技', '大', '學', '圖', '書', '資', '訊', '學', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['醫', '師', '：', '元', '智', '大', '學', '圖', '書', '資', '訊', '學', '系']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '明', '新', '科', '技', '大', '學', '醫', '學', '檢', '驗', '暨', '生', '物', '技', '術', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['也', '一', '樣', '在', '宜', '蘭', '大', '學', '生', '物', '產', '業', '傳', '播', '暨', '發', '展']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['也', '一', '樣', '在', '中', '山', '土', '木', '工', '程', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '中', '山', '心', '理']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '蘭', '陽', '技', '術', '學', '院', '外', '文', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['醫', '師', '：', '倍', '加', '神', '學', '院', '地', '質', '科']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '國', '立', '台', '北', '大', '學', '生', '命', '科', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '佛', '教', '弘', '誓', '學', '院', '圖', '書', '資', '訊']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '中', '山', '大', '學', '戲', '劇', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['現', '在', '在', '讀', '國', '立', '台', '東', '專', '科', '學', '校', '醫', '學', '工', '程', '學', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['因', '為', '我', '讀', '元', '培', '醫', '事', '科', '技', '大', '學', '材', '料', '科', '學', '與', '工', '程']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '國', '立', '臺', '中', '教', '育', '大', '學', '日', '本', '語', '文', '學', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '台', '北', '市', '立', '大', '學', '機', '械', '工', '程', '系']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '開', '南', '大', '學', '地', '理']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '政', '治', '大', '學', '物', '理', '學', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '臺', '灣', '戲', '曲', '學', '院', '農', '藝', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '台', '灣', '師', '範', '大', '學', '動', '物', '科', '學', '技', '術', '系']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '虎', '尾', '科', '技', '大', '學', '機', '械']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '衛', '理', '神', '學', '研', '究', '院', '圖', '書', '資', '訊']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '台', '東', '大', '學', '歷', '史', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['也', '一', '樣', '在', '靜', '宜', '大', '學', '資', '訊', '工', '程', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '國', '立', '彰', '化', '師', '範', '大', '學', '地', '理', '環', '境', '資', '源', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['現', '在', '在', '讀', '輔', '仁', '聖', '博', '敏', '神', '學', '院', '生', '物', '產', '業', '傳', '播', '暨', '發', '展', '學', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['也', '一', '樣', '在', '國', '立', '虎', '尾', '科', '技', '大', '學', '學', '士', '後', '護', '理']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '嶺', '東', '科', '技', '大', '學', '資', '管', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '台', '灣', '神', '學', '研', '究', '學', '院', '社', '會']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '台', '灣', '大', '學', '植', '物', '病', '理', '與', '微', '生', '物']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '美', '和', '科', '技', '大', '學', '政', '治', '學', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['現', '在', '在', '讀', '政', '治', '大', '學', '土', '木', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['也', '一', '樣', '在', '中', '華', '大', '學', '昆', '蟲', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['也', '一', '樣', '在', '屏', '東', '科', '技', '大', '學', '國', '際', '企', '業', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['醫', '師', '：', '樹', '德', '科', '技', '大', '學', '土', '木', '系']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '嶺', '東', '科', '技', '大', '學', '外', '國', '語', '文', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['因', '為', '我', '讀', '臺', '灣', '觀', '光', '學', '院', '生', '物', '環', '境', '系', '統', '工', '程', '學', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['也', '一', '樣', '在', '台', '灣', '藝', '術', '大', '學', '生', '命', '科']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['因', '為', '我', '讀', '政', '治', '生', '化', '科', '技', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '國', '立', '虎', '尾', '科', '技', '大', '學', '資', '訊', '工', '程', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['因', '為', '我', '讀', '中', '信', '金', '融', '管', '理', '學', '院', '心', '理']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['現', '在', '在', '讀', '台', '北', '海', '洋', '科', '技', '大', '學', '資', '工', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['現', '在', '在', '讀', '法', '鼓', '文', '理', '學', '院', '生', '物', '產', '業', '傳', '播', '暨', '發', '展', '系', '啦']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O']"
"['因', '為', '我', '讀', '中', '華', '信', '義', '神', '學', '院', '學', '士', '後', '護', '理', '系']","['O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education', 'I-education']"
