x,y
"['他', '娘', '那', '邊', '可', '能', '會', '有', '壓', '力', '啦']","['O', 'B-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['三', '叔', '跟', '小', '女', '兒', '三', '個', '她', '們', '都', '有', 'C', '肝']","['B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['家', '屬', '：', '啊', '我', '哥', '哥', '說', '嚇', '到', '阿']","['O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O']"
"['家', '屬', '：', '啊', '常', '常', '照', '顧', '媽', '媽']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family']"
"['他', '大', '舅', '舅', '開', '刀']","['O', 'B-family', 'I-family', 'I-family', 'O', 'O']"
"['我', '跟', '我', '姑', '姑', '說', '我', '晚', '上', '都', '睡', '不', '著']","['O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['家', '屬', '：', '阿', '我', '姑', '姑', '踩', '到', '他', '的', '腳', '他', '也', '不', '知', '道']","['O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['伯', '父']","['B-family', 'I-family']"
"['他', '叫', '一', '聲', '大', '舅', '舅', '你', '踩', '到', '我', '了', '啦']","['O', 'O', 'O', 'O', 'B-family', 'I-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O']"
"['這', '兩', '天', '什', '麼', '時', '候', '可', '以', '讓', '讓', '爸', '來', '檢', '查']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'O', 'O', 'O']"
"['阿', '那', '個', '張', '醫', '師', '說', '建', '議', '說', '我', '老', '二', '下', '來', '坐', '輪', '椅']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O']"
"['家', '屬', '：', '因', '為', '叔', '父', '住', '院', '的', '時', '候', '他', '當', '住', '院', '醫', '師', '嘛']","['O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['堂', '姐']","['B-family', 'I-family']"
"['他', '二', '舅', '媽', '開', '刀']","['O', 'B-family', 'I-family', 'I-family', 'O', 'O']"
"['我', '爺', '爺', '奶', '奶', '有', '一', '個', '問', '題', '是']","['O', 'B-family', 'I-family', 'I-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O']"
"['因', '為', '是', '老', '大', '在', '做', '月', '子', '我', '也', '跟', '著', '在', '坐', '月', '子']","['O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['好', '像', '外', '公', '外', '婆', '是']","['O', 'O', 'B-family', 'I-family', 'I-family', 'I-family', 'O']"
"['民', '眾', '：', '我', '一', '個', '兒', '子', '齁']","['O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O']"
"['家', '屬', '：', '啊', '常', '常', '照', '顧', '姐', '姐']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family']"
"['民', '眾', '：', '我', '們', '家', '族', '只', '有', '…', '…', '妹', '妹', '有', '紅', '斑', '性', '狼', '瘡']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O']"
"['阿', '不', '然', '拜', '託', '你', '弟', '幫', '你', '拿']","['O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'O', 'O', 'O']"
"['家', '族', '有', '沒', '有', '痛', '風', '的', '…', '…', '民', '眾', '：', '嗯', '…', '…', '二', '伯']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family']"
"['醫', '師', '：', '阿', '另', '一', '種', '…', '…', '民', '眾', '：', '我', '幫', '我', '舅', '媽', '問', '的', '哈']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O']"
"['我', '三', '叔', '說', '這', '就', '是', '太', '少', '運', '動']","['O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['老', '么', '他', '請', '我', '帶', '他', '去', '屏', '東', '做', '這', '個']","['B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['他', '姐', '那', '邊', '可', '能', '會', '有', '壓', '力', '啦']","['O', 'B-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['就', '在', '照', '顧', '父', '親', '母', '親', '啊']","['O', 'O', 'O', 'O', 'B-family', 'I-family', 'I-family', 'I-family', 'O']"
"['民', '眾', '：', '沒', '有', '我', '爸', '媽', '在', '外', '面', '啦']","['O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O']"
"['大', '舅', '舅']","['B-family', 'I-family', 'I-family']"
"['三', '阿', '姨', '他', '請', '我', '帶', '他', '去', '屏', '東', '做', '這', '個']","['B-family', 'I-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['家', '屬', '：', '因', '為', '姊', '姊', '住', '院', '的', '時', '候', '他', '當', '住', '院', '醫', '師', '嘛']","['O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '因', '為', '我', '…', '…', '我', '弟', '弟']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family']"
"['家', '屬', '：', '啊', '我', '母', '親', '說', '嚇', '到', '阿']","['O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O']"
"['你', '上', '次', '是', '你', '姐', '姐', '車', '禍']","['O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O']"
"['我', '跟', '我', '二', '舅', '媽', '說']","['O', 'O', 'O', 'B-family', 'I-family', 'I-family', 'O']"
"['因', '為', '是', '姊', '姊', '在', '做', '月', '子', '我', '也', '跟', '著', '在', '坐', '月', '子']","['O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['因', '為', '是', '舅', '舅', '在', '做', '月', '子', '我', '也', '跟', '著', '在', '坐', '月', '子']","['O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['姐', '姐', '跟', '小', '女', '兒', '三', '個', '她', '們', '都', '有', 'C', '肝']","['B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['家', '族', '有', '沒', '有', '痛', '風', '的', '…', '…', '民', '眾', '：', '嗯', '…', '…', '堂', '姐']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family']"
"['民', '眾', '：', '這', '個', '是', '後', '面', '大', '姑', '帶', '我', '去', '⋯', '⋯', '醫', '師', '：', '去', '哪', '一', '家']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['就', '在', '照', '顧', '二', '叔', '啊']","['O', 'O', 'O', 'O', 'B-family', 'I-family', 'O']"
"['這', '兩', '天', '什', '麼', '時', '候', '可', '以', '讓', '讓', '伯', '父', '來', '檢', '查']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O']"
"['我', '跟', '我', '大', '叔', '說', '我', '晚', '上', '都', '睡', '不', '著']","['O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['我', '媽', '說', '這', '就', '是', '太', '少', '運', '動']","['O', 'B-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['外', '婆', '跟', '小', '女', '兒', '三', '個', '她', '們', '都', '有', 'C', '肝']","['B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
