x,y
"['做', '液', '化']","['O', 'B-profession', 'I-profession']"
"['民', '眾', '：', '然', '後', '再', '轉', '貨', '櫃', '車', '司', '機']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession']"
"['你', '是', '製', '圖', '員', '是', '嗎']","['O', 'O', 'B-profession', 'I-profession', 'I-profession', 'O', 'O']"
"['醫', '師', '：', '哦', '你', '們', '是', '哪', '一', '家', '食', '品', '商']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession']"
"['民', '眾', '：', '做', '矽', '晶', '圓']","['O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession']"
"['民', '眾', '：', '對', '啊', '因', '為', '我', '海', '洋', '資', '源', '探', '勘', '休', '息']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'O', 'O']"
"['醫', '師', '：', '哦', '你', '們', '是', '哪', '一', '家', 'K', 'T', 'V']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession']"
"['個', '管', '師', '：', '花', '卉', '商', '嗎']","['O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'O']"
"['因', '為', '我', '現', '在', '當', '樹', '苗', '區', '除', '草', '工', '了']","['O', 'O', 'O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'O']"
"['晚', '上', '自', '用', '小', '客', '車', '司', '機']","['O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession']"
"['民', '眾', '：', '對', '啊', '因', '為', '我', '大', '樓', '機', '電', '人', '員', '休', '息']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'O', 'O']"
"['我', '在', '保', '齡', '球', '製', '造', '工', '人', '的']","['O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'O']"
"['民', '眾', '：', '對', '阿', '因', '為', '我', '爸', '在', '做', '漁', '塭', '經', '營', '者']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession']"
"['公', '園']","['B-profession', 'I-profession']"
"['晚', '上', '煉', '油', '廠', '技', '術', '工', '人']","['O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession']"
"['民', '眾', '：', '鑽', '床', '工', '的', '制', '度']","['O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'O', 'O', 'O']"
"['工', '藝', '教', '師', '啊']","['B-profession', 'I-profession', 'I-profession', 'I-profession', 'O']"
"['民', '眾', '：', '就', '是', '高', '爾', '夫', '球', '具', '製', '造', '工']","['O', 'O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession']"
"['醫', '師', 'A', '：', '壘', '球', '球', '員', '哈', '哈']","['O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'O', 'O']"
"['民', '眾', '：', '然', '後', '再', '轉', '道', '路', '工', '程', '車', '輛', '駕', '駛', '員']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession']"
"['晚', '上', '道', '路', '清', '潔', '工']","['O', 'O', 'B-profession', 'I-profession', 'I-profession', 'I-profession', 'I-profession']"
"['晚', '上', '工', '地']","['O', 'O', 'B-profession', 'I-profession']"
"['民', '眾', '：', '製', '模', '工', '的', '制', '度']","['O', 'O', 'O', 'B-profession', 'I-profession', 'I-profession', 'O', 'O', 'O']"
