x,y
"['嗯', '⋯', '⋯', '就', '是', 'L', 'I', 'N', 'E']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact']"
"['嗯', '⋯', '⋯', '就', '是', 'F', 'a', 'c', 'e', 'b', 'o', 'o', 'k']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['嗯', '⋯', '⋯', '就', '是', 'G', 'r', 'i', 'n', 'd', 'r']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['嗯', '⋯', '⋯', '就', '是', 'H', 'o', 'r', 'n', 'e', 't']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['嗯', '⋯', '⋯', '就', '是', 'T', 'i', 'n', 'd', 'e', 'r']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['嗯', '⋯', '⋯', '就', '是', 'e', '-', 'm', 'a', 'i', 'l']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['嗯', '⋯', '⋯', '就', '是', 'F', 'B']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact']"
"['嗯', '⋯', '⋯', '就', '是', 'f', 'b']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact']"
"['嗯', '⋯', '⋯', '就', '是', 't', 'w', 'i', 't', 't', 'e', 'r']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
"['嗯', '⋯', '⋯', '就', '是', 'T', 'w', 'i', 't', 't', 'e', 'r']","['O', 'O', 'O', 'O', 'O', 'B-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact', 'I-contact']"
