x,y
"['醫', '師', '：', '就', '是', '肝', '功', '能', '有', '比', '較', '高', '，', '肝', '功', '能', '9', '0', '，', '就', '是', '這', '個', 'A', 'L', 'P', '是', '6', '8', '，', '這', '樣', '比', '較', '高', '，', '正', '常', '應', '是', '5', '0', '以', '下', '，', '另', '外', '就', '是', '你', '之', '前', '說', '你', '有', 'B', '肝', '，', '但', '是', '你', 'B', '肝', '已', '經', '好', '了', '耶']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '對', '啊', '那', '些', '都', '是', '新', '買', '的', '，', '因', '為', '本', '來', '是', '舊', '的', '，', '因', '為', '用', '舊', '的', '量', '都', '是', '5', '2', '點', '多', '，', '然', '後', '到', '公', '司', '就', '不', '行', '，', '然', '後', '我', '想', '說', '奇', '怪', '為', '什', '麼', '，', '後', '來', '我', '就', '重', '新', '買', '了', '一', '個', '新', '的', '，', '然', '後', '確', '實', '我', '買', '了', '一', '個', '新', '的', '就', '是', '3', '8', '點', '多']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O']"
"['民', '眾', '：', '啊', '我', '下', '午', '，', '這', '幾', '天', '早', '上', '量', '也', '都', '是', '4', '3', '點', '多']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O']"
"['醫', '師', '：', '6', '…', '…', '5', '公', '分']","['O', 'O', 'O', 'B-med_exam', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam']"
"['家', '屬', '：', '就', '是', '有', '病', '毒', '啊', '！', '醫', '師', '：', '6', '4', '⋯', '⋯', '跟', '上', '次', '差', '不', '多']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['6', '8', '上', '次', '5', '2']","['B-med_exam', 'I-med_exam', 'O', 'O', 'B-med_exam', 'I-med_exam']"
"['醫', '師', '：', '不', '然', '…', '…', '家', '屬', '：', '為', '甚', '麼', '他', '有', '時', '候', '血', '壓', '就', '那', '麼', '高', '，', '有', '時', '候', '高', '到', '2', '0', '5', '哈', '哈', '哈']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O']"
"['家', '屬', '：', '然', '後', '就', '又', '高', '到', '2', '0', '5']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam']"
"['醫', '師', '：', '又', '高', '到', '2', '7', '7']","['O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam']"
"['家', '屬', '：', '然', '後', '大', '概', '1', '7', '2', '…', '…', '醫', '師', '：', '1', '5', '5', '好', '像', '還', '可', '以', '，', '對', '他', '的', '身', '體', '來', '講']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['1', '8', '0', '的']","['B-med_exam', 'I-med_exam', 'I-med_exam', 'O']"
"['醫', '師', '：', '誒', '有', '差', '誒', '，', '你', '看', '這', '次', 'C', 'D', '4', '就', '5', '5', '1']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam']"
"['醫', '師', '：', '都', '有', '回', '來', '～', '上', '次', '是', '4', '2', '0', '，', 'o', 'k', '，', '好']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '這', '次', '到', '，', 'C', 'D', '4', '到', '6', '1', '2']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam']"
"['醫', '師', '：', '5', '8', '8', '，', '好', '像', '是', '最', '高', '的', '一', '次', '喔']","['O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '現', '在', '是', '最', '，', '對', '對', '，', '之', '前', '都', '不', '到', '5', '8', '5']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam']"
"['醫', '師', '：', '對', '，', '都', '不', '到', '3', '2', '2', '喔', '，', '那', '我', '們', '下', '次', '也', '許', '就', '可', '以', '，', '看', '看', '能', '不', '能', '破', '5', '0', '5']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam']"
"['阿', '發', '炎', '指', '數', '，', '本', '來', '，', '紅', '字', '的', '這', '裡', '，', '本', '來', '8', '5', '，', '8', '.', '5', '，', '1', '2', '.', '4', '，', '這', '次', '3', '.', '6']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam']"
"['醫', '師', '：', '嘿', '嘿', '嘿', '，', '2', '8', '5', '齁']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O']"
"['在', '你', '這', '裡', '也', '是', '高', '，', '是', '…', '…', '時', '高', '時', '低', '這', '樣', '，', '阿', '低', '的', '時', '候', '都', '大', '約', '1', '8', '8', '…', '…', '1', '6', '5', '多']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'I-med_exam']"
"['醫', '師', '：', '你', '的', '2', '月', '2', '0', '號', '血', '糖', '是', '8', '7', '，', '然', '後', '肝', '功', '能', '，', '血', '脂', '肪', '…', '…', '哇', '！', '年', '輕', '啦', '，', '都', '沒', '問', '題']","['O', 'O', 'O', 'O', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'I-time', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '然', '後', '這', '個', '血', '液', '的', 'C', 'D', '4', '是', '4', '3', '2']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam']"
"['然', '後', '肝', '功', '能', '比', '較', '異', '常', '，', '9', '5', '，', '1', '0', '2']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam']"
