x,y
"['醫', '師', '：', '那', '時', '候', '在', '做', 'S', 'A', 'R', 'S', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'O']"
"['醫', '師', '：', '那', '時', '候', '在', '做', 's', 'a', 'r', 's', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'O']"
"['醫', '師', '：', '那', '時', '候', '在', '做', 'C', 'O', 'V', 'I', 'D', '-', '1', '9', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'O']"
"['醫', '師', '：', '那', '時', '候', '在', '做', 'c', 'o', 'v', 'i', 'd', '-', '1', '9', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'O']"
"['醫', '師', '：', '那', '時', '候', '在', '做', 'C', 'O', 'V', 'I', 'D', '1', '9', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'O']"
"['醫', '師', '：', '那', '時', '候', '在', '做', 'c', 'o', 'v', 'i', 'd', '1', '9', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'O']"
"['醫', '師', '：', '好', '你', '是', 'B', '肝', '，', '阿', '你', '十', '二', '月', '的', '時', '候', '來', '，', '那', '時', '候', '還', '沒', '有', '那', '個', 'S', 'A', 'R', 'S', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'O']"
"['醫', '師', '：', '好', '你', '是', 'B', '肝', '，', '阿', '你', '十', '二', '月', '的', '時', '候', '來', '，', '那', '時', '候', '還', '沒', '有', '那', '個', 's', 'a', 'r', 's', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'O']"
"['醫', '師', '：', '好', '你', '是', 'B', '肝', '，', '阿', '你', '十', '二', '月', '的', '時', '候', '來', '，', '那', '時', '候', '還', '沒', '有', '那', '個', 'C', 'O', 'V', 'I', 'D', '-', '1', '9', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'O']"
"['醫', '師', '：', '好', '你', '是', 'B', '肝', '，', '阿', '你', '十', '二', '月', '的', '時', '候', '來', '，', '那', '時', '候', '還', '沒', '有', '那', '個', 'c', 'o', 'v', 'i', 'd', '-', '1', '9', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'I-clinical_event', 'O']"
