x,y
"['醫', '師', '：', '因', '為', '我', '們', '是', '檢', '查', '發', '炎', '的', '部', '分', '，', '就', '是', '評', '估', '可', '能', '感', '染', '啦', '齁', '，', '就', '是', '會', '驗', '一', '下', '尿', '，', '然', '後', '然', '後', '抽', '血', '，', '那', '我', '們', '抽', '完', '血', '，', '這', '兩', '天', '什', '麼', '時', '候', '可', '以', '讓', '讓', '爸', '來', '檢', '查', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-time', 'I-time', 'I-time', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '對', '阿', '，', '我', '就', '感', '覺', '腰', '有', '夠', '痠', '，', '阿', '我', '這', '肩', '膀', '也', '是', '。', '我', '跟', '我', '爺', '爺', '說', '，', '我', '兒', '子', '說', '這', '就', '是', '太', '少', '運', '動', '，', '要', '出', '去', '曬', '曬', '太', '陽', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '因', '為', '你', '家', '族', '史', '，', '好', '像', '姐', '姐', '是', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O']"
"['民', '眾', '：', '我', '都', '叫', '我', '親', '戚', '來', '幫', '我', '拿', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O']"
"['家', '屬', '：', '啊', '常', '常', '照', '顧', '叔', '叔', '，', '所', '以', '住', '院', '的', '時', '候', '常', '常', '在', '一', '起', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '我', '們', '家', '族', '只', '有', '…', '…', '老', '三', '有', '紅', '斑', '性', '狼', '瘡', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['這', '個', '是', '後', '面', '哥', '哥', '帶', '我', '去', '⋯', '⋯', '醫', '師', '：', '去', '哪', '一', '家', '？']","['O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '對', '啊', '，', '就', '在', '照', '顧', '媽', '媽', '啊', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O']"
"['家', '屬', '：', '阿', '跌', '倒', '呢', '，', '她', '是', '說', '我', '爺', '爺', '奶', '奶', '自', '己', '掉', '下', '去', '的', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'I-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '痾', '，', '我', '爸', '爸', '他', '請', '我', '帶', '他', '去', '屏', '東', '做', '這', '個', '。']","['O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O']"
"['家', '屬', '：', '因', '為', '我', '有', '一', '個', '同', '事', '他', '也', '像', '我', '爺', '爺', '奶', '奶', '這', '種', '情', '況', '，', '他', '吃', '了', '以', '後', '，', '好', '了', '他', '就', '不', '吃', '了', '，', '結', '果', '就', '像', '你', '說', '的', '就', '是', '這', '樣', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'I-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
