x,y
"['醫', '師', '：', '就', '是', '肝', '功', '能', '有', '比', '較', '高', '，', '肝', '功', '能', '7', '4', '，', '就', '是', '這', '個', 'A', 'L', 'P', '是', '6', '8', '，', '這', '樣', '比', '較', '高', '，', '正', '常', '應', '是', '5', '0', '以', '下', '，', '另', '外', '就', '是', '你', '之', '前', '說', '你', '有', 'B', '肝', '，', '但', '是', '你', 'B', '肝', '已', '經', '好', '了', '耶', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '對', '啊', '那', '些', '都', '是', '新', '買', '的', '，', '因', '為', '本', '來', '是', '舊', '的', '，', '因', '為', '用', '舊', '的', '量', '都', '是', '4', '2', '點', '多', '，', '然', '後', '到', '公', '司', '就', '不', '行', '，', '然', '後', '我', '想', '說', '奇', '怪', '為', '什', '麼', '，', '後', '來', '我', '就', '重', '新', '買', '了', '一', '個', '新', '的', '，', '然', '後', '確', '實', '我', '買', '了', '一', '個', '新', '的', '就', '是', '3', '8', '點', '多', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O']"
"['民', '眾', '：', '啊', '我', '下', '午', '，', '這', '幾', '天', '早', '上', '量', '也', '都', '是', '4', '2', '點', '多', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O']"
"['醫', '師', '：', '6', '1', '⋯', '⋯', '跟', '上', '次', '差', '不', '多', '。', '5', '5', '上', '次', '5', '2', '。']","['O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O']"
"['家', '屬', '：', '為', '甚', '麼', '他', '有', '時', '候', '血', '壓', '就', '那', '麼', '高', '，', '有', '時', '候', '高', '到', '2', '1', '5', '哈', '哈', '哈', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O']"
"['家', '屬', '：', '然', '後', '就', '又', '高', '到', '2', '0', '5', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O']"
"['醫', '師', '：', '又', '高', '到', '2', '3', '1', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O']"
"['家', '屬', '：', '然', '後', '大', '概', '1', '8', '6', '…', '…']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O']"
"['醫', '師', '：', '1', '7', '7', '好', '像', '還', '可', '以', '，', '對', '他', '的', '身', '體', '來', '講', '。', '1', '5', '5', '的', '。']","['O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O']"
"['醫', '師', '：', '誒', '有', '差', '誒', '，', '你', '看', '這', '次', 'C', 'D', '4', '就', '7', '3', '5', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O']"
"['醫', '師', '：', '都', '有', '回', '來', '～', '上', '次', '是', '4', '2', '7', '，', 'o', 'k', '，', '好', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '這', '次', '到', '，', 'C', 'D', '4', '到', '6', '1', '2', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O']"
"['醫', '師', '：', '7', '3', '5', '，', '好', '像', '是', '最', '高', '的', '一', '次', '喔', '。']","['O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '現', '在', '是', '最', '，', '對', '對', '，', '之', '前', '都', '不', '到', '4', '5', '5', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O']"
"['醫', '師', '：', '對', '，', '都', '不', '到', '3', '3', '1', '喔', '，', '那', '我', '們', '下', '次', '也', '許', '就', '可', '以', '，', '看', '看', '能', '不', '能', '破', '5', '0', '5', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O']"
"['醫', '師', '：', '嘿', '嘿', '嘿', '，', '2', '2', '1', '齁', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O']"
"['家', '屬', '：', '對', '。', '在', '你', '這', '裡', '也', '是', '高', '，', '是', '…', '…', '時', '高', '時', '低', '這', '樣', '，', '阿', '低', '的', '時', '候', '都', '大', '約', '1', '9', '8', '…', '…', '1', '6', '5', '多', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'I-med_exam', 'O']"
"['醫', '師', '：', '你', '的', '2', '月', '2', '0', '號', '血', '糖', '是', '9', '3', '，', '然', '後', '肝', '功', '能', '，', '血', '脂', '肪', '…', '…', '哇', '！', '年', '輕', '啦', '，', '都', '沒', '問', '題', '。', '我', '看', '一', '下', '…', '…', 'C', '肝', '沒', '問', '題', '，', 'A', '肝', '已', '經', '有', '抗', '體', '了', '。', '但', '是', '，', '你', 'B', '肝', '的', '抗', '體', '不', '夠', '，', '有', '沒', '有', '…', '…', '有', '沒', '有', '建', '議', '，', '我', '有', '沒', '有', '給', '你', '講', '建', '議', '說', '，', '建', '議', '可', '以', '打', '，', '打', '疫', '苗', '。']","['O', 'O', 'O', 'O', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'I-time', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '然', '後', '這', '個', '血', '液', '的', 'C', 'D', '4', '是', '4', '0', '8', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O']"
"['醫', '師', '：', '但', '是', '左', '邊', '的', '腎', '臟', '反', '而', '沒', '怎', '樣', '。', '然', '後', '脾', '臟', '在', '旁', '邊', '，', '在', '左', '邊', '這', '邊', '，', '脾', '臟', '的', '大', '小', '是', '9', '公', '分', '，', '這', '樣', '是', '正', '常', '，', '所', '以', '跟', '脾', '臟', '沒', '關', '係', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '但', '是', '左', '邊', '的', '腎', '臟', '反', '而', '沒', '怎', '樣', '。', '然', '後', '脾', '臟', '在', '旁', '邊', '，', '在', '左', '邊', '這', '邊', '，', '脾', '臟', '的', '大', '小', '是', '5', '公', '分', '，', '這', '樣', '是', '正', '常', '，', '所', '以', '跟', '脾', '臟', '沒', '關', '係', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '但', '是', '左', '邊', '的', '腎', '臟', '反', '而', '沒', '怎', '樣', '。', '然', '後', '脾', '臟', '在', '旁', '邊', '，', '在', '左', '邊', '這', '邊', '，', '脾', '臟', '的', '大', '小', '是', '十', '公', '分', '，', '這', '樣', '是', '正', '常', '，', '所', '以', '跟', '脾', '臟', '沒', '關', '係', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '但', '是', '左', '邊', '的', '腎', '臟', '反', '而', '沒', '怎', '樣', '。', '然', '後', '脾', '臟', '在', '旁', '邊', '，', '在', '左', '邊', '這', '邊', '，', '脾', '臟', '的', '大', '小', '是', '0', '.', '8', '公', '分', '，', '這', '樣', '是', '正', '常', '，', '所', '以', '跟', '脾', '臟', '沒', '關', '係', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '但', '是', '左', '邊', '的', '腎', '臟', '反', '而', '沒', '怎', '樣', '。', '然', '後', '脾', '臟', '在', '旁', '邊', '，', '在', '左', '邊', '這', '邊', '，', '脾', '臟', '的', '大', '小', '是', '4', '.', '9', '公', '分', '，', '這', '樣', '是', '正', '常', '，', '所', '以', '跟', '脾', '臟', '沒', '關', '係', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '但', '是', '左', '邊', '的', '腎', '臟', '反', '而', '沒', '怎', '樣', '。', '然', '後', '脾', '臟', '在', '旁', '邊', '，', '在', '左', '邊', '這', '邊', '，', '脾', '臟', '的', '大', '小', '是', '2', '.', '8', '6', '公', '分', '，', '這', '樣', '是', '正', '常', '，', '所', '以', '跟', '脾', '臟', '沒', '關', '係', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-med_exam', 'I-med_exam', 'I-med_exam', 'I-med_exam', 'I-med_exam', 'I-med_exam', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
