x,y
"['醫', '師', '：', '所', '以', '等', '於', '說', '這', '樣', '變', '三', '分', '之', '一', '錢', '啦', '，', '三', '分', '之', '一', '價', '格', '這', '樣', '子', '。', '大', '概', '，', '所', '以', '一', '個', '月', '會', '大', '概', '3', '0', '0', '塊', '到', '五', '千', '五', '左', '右', '，', '假', '設', '你', '天', '天', '吃', '。', '那', '你', '每', '個', '月', '吃', '基', '本', '上', '還', '是', '有', '點', '多', '啦', '，', '因', '為', '這', '假', '設', '要', '長', '期', '這', '樣', '下', '去', '，', '那', '所', '以', '呃', '另', '外', '一', '些', '，', '就', '是', '我', '們', '可', '以', '給', '予', '幾', '個', '，', '就', '是', '主', '要', '是', '泰', '國', '的', '網', '站', '，', '那', '他', '就', '是', '可', '以', '上', '去', '訂', '所', '謂', '的', '學', '名', '藥', '，', '那', '一', '個', '他', '就', '是', '價', '格', '會', '再', '三', '分', '之', '一', '，', '所', '以', '大', '概', '一', '個', '月', '大', '概', '一', '千', '八', '左', '右', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'I-money', 'I-money', 'O', 'B-money', 'I-money', 'I-money', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'I-money', 'O', 'O', 'O']"
"['醫', '師', '：', '那', '個', '要', '7', '8', '0', '0', '～', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'I-money', 'I-money', 'O', 'O']"
"['醫', '師', '：', '那', '個', '要', '4', '1', '4', '～', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'I-money', 'O', 'O']"
"['民', '眾', '：', '嗯', '，', '呵', '呵', '。', '醫', '師', '，', '對', '，', '所', '以', '，', '對', '，', '那', '個', '通', '常', '應', '該', '是', '可', '能', '很', '山', '裡', '或', '是', '爸', '媽', '真', '的', '很', '不', '照', '顧', '的', '人', '，', '才', '會', '是', '那', '零', '點', '五', '啦', '。', '那', '總', '之', '，', '你', '一', '定', '打', '過', '。', '那', '打', '過', '現', '在', '會', '沒', '有', '表', '示', '要', '嘛', '就', '是', '，', '因', '為', '有', '少', '數', '有', '些', '人', '是', '天', '生', '對', '疫', '苗', '不', '反', '應', '的', '人', '。', '那', '有', '一', '些', '人', '是', '曾', '經', '出', '現', '過', '後', '來', '又', '消', '失', '。', '那', '當', '然', '我', '們', '現', '在', '不', '知', '道', '你', '是', '哪', '一', '種', '人', '。', '嘿', '，', '那', '所', '以', '可', '能', '可', '以', '考', '慮', '再', '打', '一', '個', '，', '一', '個', '療', '程', '的', 'B', '型', '肝', '炎', '疫', '苗', '。', 'B', '型', '肝', '炎', '疫', '苗', '一', '般', '是', '要', '打', '三', '支', '，', '現', '在', '，', '兩', '個', '月', '後', '，', '跟', '半', '年', '後', '。', '所', '以', '總', '共', '一', '支', '是', '一', '百', '塊', '，', '三', '支', '是', '一', '千', '五', '左', '右', '。', '你', '可', '能', '可', '以', '考', '慮', '任', '何', '時', '候', '你', '想', '打', '都', '可', '以', '打', '。', '好', '，', '那', '我', '們', '先', '講', '，', '你', '上', '次', '回', '去', '有', '沒', '有', '什', '麼', '問', '題', '？']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'I-money', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'I-money', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '比', '如', '說', '像', '早', '期', '、', '像', '早', '期', '大', '家', '旅', '行', '還', '比', '較', '可', '以', '這', '麼', '做', '，', '我', '們', '其', '實', '會', '請', '大', '家', '去', '泰', '國', '的', '診', '所', '，', '那', '有', '些', '人', '事', '實', '上', '你', '去', '，', '因', '為', '泰', '國', '其', '實', '大', '家', '很', '常', '去', '拉', '，', '因', '為', '現', '在', '泰', '國', '的', '藥', '局', '就', '買', '到', '一', '瓶', '四', '百', '二', '十', '塊', '的', '，', '我', '都', '說', '你', '那', '千', '萬', '不', '要', '吃', '因', '為', '，', '因', '為', '那', '個', '就', '你', '根', '本', '就', '不', '知', '道', '…', '…', '你', '看', '就', '台', '灣', '…', '…']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'I-money', 'I-money', 'I-money', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '好', '。', '1', '2', '0', '0', '好', '不', '好', '。']","['O', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'I-money', 'I-money', 'O', 'O', 'O', 'O']"
"['家', '屬', '：', '好', '喔', '一', '萬', '，', '空', '一', '下', '。']","['O', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '你', '要', '吃', '七', '顆', '的', '還', '是', '吃', '四', '個', '禮', '拜', '？', '七', '顆', '要', '自', '費', '喔', '，', '加', '一', '加', '也', '要', '4', '0', '0', '多', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-time', 'I-time', 'I-time', 'I-time', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'I-money', 'I-money', 'O']"
"['民', '眾', '：', '喔', '九', '百', '。']","['O', 'O', 'O', 'O', 'B-money', 'I-money', 'O']"
"['醫', '師', '：', '不', '是', '不', '是', '，', '是', '那', '一', '瓶', '一', '萬', '到', '二', '萬', '，', '他', '會', '送', '你', '兩', '瓶', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-money', 'I-money', 'I-money', 'I-money', 'I-money', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
