entity_text,entity_type
腦炎,clinical_event
日本腦炎,clinical_event
小兒痲痺症,clinical_event
帕金森病,clinical_event
阿茲海默症,clinical_event
腦震盪,clinical_event
腦膜瘤,clinical_event
腦癌,clinical_event
焦慮症,clinical_event
大腸激躁症,clinical_event
強迫症,clinical_event
厭食症,clinical_event
暴食症,clinical_event
憂鬱症,clinical_event
躁鬱症,clinical_event
拔毛癖,clinical_event
思覺失調症,clinical_event
恐慌症,clinical_event
性功能障礙,clinical_event
性別不安症,clinical_event
性偏好障礙,clinical_event
注意力不足過動症,clinical_event
自閉症,clinical_event
亞斯伯格症候群,clinical_event
社交恐懼症,clinical_event
懼高症,clinical_event
近視,clinical_event
遠視,clinical_event
老花,clinical_event
斜視,clinical_event
雪盲症,clinical_event
夜盲症,clinical_event
青光眼,clinical_event
結膜炎,clinical_event
麥粒腫,clinical_event
針眼,clinical_event
視網膜中央動脈阻塞,clinical_event
飛蚊症,clinical_event
視網膜剝離,clinical_event
乾眼症,clinical_event
視網膜母細胞瘤,clinical_event
白內障,clinical_event
視網膜色素變性,clinical_event
耳鳴,clinical_event
中耳炎,clinical_event
珍珠瘤,clinical_event
耳閉,clinical_event
過敏性鼻炎,clinical_event
慢性鼻竇炎,clinical_event
鼻息肉,clinical_event
鼻中膈彎曲,clinical_event
鵝口瘡,clinical_event
流鼻血,clinical_event
鼻咽癌,clinical_event
口腔癌,clinical_event
舌癌,clinical_event
喉癌,clinical_event
重舌,clinical_event
唇顎裂,clinical_event
心臟病,clinical_event
心律不整,clinical_event
中風,clinical_event
高血壓,clinical_event
先天性心臟病,clinical_event
二尖瓣脫垂,clinical_event
心內膜炎,clinical_event
心肌梗塞,clinical_event
冠狀動脈疾病,clinical_event
法洛氏四重症,clinical_event
大血管轉位,clinical_event
周邊動脈阻塞,clinical_event
雷諾氏症,clinical_event
下呼吸道感染,clinical_event
哮喘,clinical_event
肺炎,clinical_event
非典型肺炎,clinical_event
肺結核,clinical_event
慢性支氣管炎,clinical_event
肺氣腫,clinical_event
塵肺症,clinical_event
矽肺,clinical_event
肺癌,clinical_event
肺栓塞,clinical_event
腹膜炎,clinical_event
胃炎,clinical_event
胃潰瘍,clinical_event
腸胃穿孔,clinical_event
胃食道逆流,clinical_event
食道痙孿,clinical_event
食道癌,clinical_event
胃癌,clinical_event
A型肝炎,clinical_event
B型肝炎,clinical_event
C型肝炎,clinical_event
酒精性肝炎,clinical_event
肝毒性,clinical_event
威爾森氏症,clinical_event
膽道囊腫,clinical_event
肝硬化,clinical_event
肝癌,clinical_event
膽道癌,clinical_event
膽囊癌,clinical_event
糖尿病,clinical_event
胰臟癌,clinical_event
疝,clinical_event
大腸激躁症,clinical_event
大腸瘜肉症,clinical_event
腸癌,clinical_event
直腸癌,clinical_event
小腸血管發育不良,clinical_event
尿毒症,clinical_event
膀胱炎,clinical_event
陰道炎,clinical_event
前列腺炎,clinical_event
攝護腺肥大,clinical_event
腎癌,clinical_event
輸尿管癌,clinical_event
膀胱癌,clinical_event
前列腺癌,clinical_event
睪丸癌,clinical_event
陰莖癌,clinical_event
卵巢癌,clinical_event
子宮癌,clinical_event
子宮頸癌,clinical_event
陰道癌,clinical_event
外陰癌,clinical_event
侏儒症,clinical_event
巨人症,clinical_event
肢端肥大症,clinical_event
甲狀腺機能亢進,clinical_event
甲狀腺機能低下,clinical_event
糖尿病,clinical_event
過敏性鼻炎,clinical_event
異位性皮膚炎,clinical_event
氣喘,clinical_event
花粉過敏症,clinical_event
風疹,clinical_event
風濕熱,clinical_event
全身性紅斑狼瘡,clinical_event
類風濕性關節炎,clinical_event
僵直性脊椎炎,clinical_event
IgA腎病,clinical_event
硬皮病,clinical_event
白血病,clinical_event
酸血症,clinical_event
血友病,clinical_event
貧血,clinical_event
缺鐵性貧血,clinical_event
地中海貧血症,clinical_event
鐮刀型紅血球疾病,clinical_event
壞血病,clinical_event
蠶豆症,clinical_event
休克,clinical_event
坐骨神經痛,clinical_event
下背痛,clinical_event
先天成骨不全症,clinical_event
類風濕性關節炎,clinical_event
