entity_text,entity_type
68,med_exam
68,med_exam
10.78公分,med_exam
三多路,location
長庚醫院,location
十天,time
打撲克牌,profession
四五天,time
3月18號,time
3月24日,time
3月24,time
禮拜二,time
禮拜四,time
3月31日,time
奇美醫院,location
三個月,time
五十二百分比,med_exam
五十二百分比,med_exam
陳醫師,name
兩百多萬,money
兩百多萬,money
兩百多萬,money
五個月,time
二零一六年,time
四年,time
四年,time
四年,time
一個半月,time
兩個禮拜,time
三個禮拜,time
陳醫師,name
４２,time
４２,time
５月份５月１號,time
五月一號,time
三個禮拜,time
前年,time
前年,time
三月份,time
前年三月份,time
三、四個月,time
37.2,med_exam
35,med_exam
38,med_exam
38,med_exam
38點,med_exam
35,med_exam
黃醫師,name
9公分,med_exam
5,med_exam
5公分,med_exam
9公分,med_exam
十公分,med_exam
2,time
2016年10月19號,time
今年的年初,time
兩三年,time
9公分,med_exam
林醫師,name
承醫師,name
承太郎醫師,name
十塊錢,money
二十塊,money
早上,time
中午,time
中午,time
晚上,time
三個禮拜,time
四百二十塊,money
21顆,time
五次,time
首爾,location
首爾,location
首爾護理之家,location
釜山,location
釜山,location
釜山,location
南韓交流道,location
南韓交流道,location
六個月,time
一年,time
三個禮拜,time
三個禮拜,time
三個禮拜,time
6月20號,time
兩個禮拜三個禮拜,time
55,med_exam
55,med_exam
52,med_exam
三個禮拜,time
三個禮拜,time
八十歲,time
後天,time
明天,time
後天,time
兩點,time
兩點三點四點,time
兩點,time
兩點多,time
三點多,time
四點多,time
兩千多塊,money
小明,name
小明,name
二個禮拜,time
二個禮拜,time
38度,med_exam
前天,time
昨天,time
二十分鐘,time
五年,time
兩個禮拜,time
前天,time
前天,time
前天下午,time
前天,time
晚上,time
娜美,name
五天,time
禮拜三,time
五天禮拜三,time
禮拜三下午,time
185,med_exam
185,med_exam
185,med_exam
兩個月,time
155,med_exam
155,med_exam
155,med_exam
兩千多塊,money
85.5公斤,med_exam
一個禮拜,time
四天,time
四,time
四十分鐘,time
一個小時,time
490,med_exam
咪路,name
亞西吉,name
374,med_exam
490,med_exam
490,med_exam
390,med_exam
290,med_exam
505,med_exam
兩個月,time
兩個月,time
300,money
兩個月份,time
300,money
兩個,time
90顆,time
90顆,time
300,money
300,name
兩張,time
三張,time
三張,time
一年半,time
一年半,time
上上個月,time
一年半,time
上上個月,time
上上個月,time
一年半前,time
一年半,time
一年半,time
三個禮,time
三個禮,time
禮拜,time
三個禮拜,time
五個月前,time
五個月前,time
五個月,time
2017年,time
2017年,time
2019,time
2017,time
12月25,time
去年,time
去年,time
去年,time
去,time
去年,time
去年,time
三份,time
300,money
兩個月,time
兩,time
兩個月,time
兩個月份,time
兩個月份,time
兩個月份,time
60顆,time
200塊,money
200塊,money
500,money
500,money
300,money
500,money
500,money
兩個月份,time
兩百,money
200,money
200,money
350,money
九千七,med_exam
一萬五,med_exam
一萬零四百,med_exam
一萬零五百,med_exam
九千七,med_exam
71,med_exam
8.5,med_exam
12.4,med_exam
3.6,med_exam
三個禮拜,time
宇智波,location
木葉,location
宇智波,location
木葉,location
三個禮拜,time
三個禮拜,time
三個禮拜,time
三個禮拜,time
三個禮拜,time
兩個禮拜,time
四月二十日,time
兩個,time
兩個禮拜,time
小櫻,name
木葉宇智皮,location
波,location
宇智波忍術教室,location
宇智波,location
666,time
666,time
098,time
098,time
7403,time
7403,time
6660897403,time
666098,time
0987403,time
宇智波忍術教室,location
180幾,med_exam
190,med_exam
190,med_exam
165,med_exam
165多,med_exam
37.3,med_exam
37.3,med_exam
兩個月,time
半年,time
半年,time
2月20號,time
78,med_exam
500塊,money
500塊,money
4月20號,time
5月,time
5月,time
5月初,time
兩個禮拜,time
一個半月,time
5月1號,time
六周,time
5月,time
四個禮拜,time
四個禮拜,time
4月17,time
4月17,time
3月20號,time
四個禮拜,time
2.1,med_exam
2月20號,time
371,med_exam
1.7,med_exam
1.7,med_exam
9.0,med_exam
1.7,med_exam
6000公尺,time
小美,name
這兩個月,time
昨天,time
兩個月,time
3個月,time
九、十點,time
九、十點晚上,time
晚上,time
晚上,time
三年多,time
三年多,time
三年多,time
5個月,time
小美,name
兩個月,time
近四個月,time
1,time
近七個月,time
兩次,time
一個禮拜,time
一兩個禮拜,time
一兩個禮拜,time
一千七,money
浩克,name
浩克,name
9月28號,time
26,time
26,time
8,time
9點,time
這兩個月,time
9點,time
9點,time
6,time
7點,time
一個月,time
兩個月,time
兩個月,time
兩個月,time
6月10日,time
8點,time
早上6點,time
8點,time
晚上6點,time
6點,time
6點,time
6點,time
4點,time
6點,time
7點,time
7點,time
6點,time
6點,time
6點,time
6點,time
10點,time
6點,time
6點,time
小花,name
小美,name
兩個月,time
一個星期,time
一個星期,time
一星期,time
兩個月,time
紐約,location
3月,time
一年,time
一年,time
紐約,location
一年,time
兩個月,time
兩個月,time
3月份,time
3月份,time
上個禮拜五,time
5個小時,time
三樓,location
四樓,location
小美,name
小美,name
兩年半,time
兩年半,time
4月份,time
兩年,time
平壤,location
平壤,location
北韓,location
一個月,time
兩個月,time
兩個月,time
昨天,time
昨天,time
今天早上,time
昨天,time
5月24,time
5月24號,time
6月3號,time
紐約,location
6月3號,time
紐約,location
紐約,location
曼哈頓,location
紐約,location
曼哈頓,location
50分鐘,time
第一個月,time
二,time
二,time
三,time
一,time
二,time
第三個月,time
4月27,time
小愛,name
第三個月,time
第二個月,time
第三,time
第三個月,time
第三,time
8月1號,time
交友軟體,organization
交友軟體,organization
交友軟體,organization
交友軟體,organization
交友軟體,organization
三次,time
那三次,time
8月21,time
8月2號,time
821,time
8,time
2,time
保險,profession
821,time
三個月,time
七公斤,med_exam
三年,time
三年,time
麻豆,location
5月28日,time
300塊,money
250,money
230塊,money
一萬到二萬,money
一萬到二萬,money
一萬,money
一年,time
九到十二個月,time
九到十二個月,time
五個月,time
101診間,location
101診間,location
4,time
5次,time
4,time
5次,time
前天,time
前天,time
前天,time
兩年多,time
第四個月,time
5月30號,time
千尋,name
第四個月,time
前天,time
前天,time
85,med_exam
102,med_exam
前年,time
去年,time
前年,time
前年,time
Google,profession
Google,profession
三月十八,time
兩個月,time
賈伯斯,name
賈伯斯,name
下下禮拜,time
下下禮拜,time
三月二十一,time
兩個禮拜,time
兩個禮拜,time
後天,time
美國,location
紐約,location
紐約,location
賈伯斯,name
下下禮拜,time
下下個禮拜,time
下下禮拜,time
賈伯斯,name
賈伯斯,name
七號,time
四月,time
二十號,time
下下禮拜七號,time
下下禮拜九號,time
四月四號,time
三個,time
五天,time
前天,time
前天,time
下午四點,time
一點半兩點,time
38.2,med_exam
六天,time
禮拜三,time
慶鴻學院,location
羅斯福路,location
學院,location
禮拜一禮拜二,time
大安區,location
泰山區,location
泰山區,location
羅斯福路,location
泰山區,location
9月24號,time
哥哥,family
兩點,time
三個禮拜,time
三個禮拜,time
6月4號,time
士林,location
士林,location
小明復健診所,location
小明,location
兩個月,time
三個禮拜,time
上上個禮拜,time
上上個禮拜,time
上上個禮拜幾,time
林醫師,name
上上個禮拜六,time
早上,time
一個半小時,time
一個半小時,time
384,med_exam
99,med_exam
99,med_exam
10、11公斤,med_exam
200,med_exam
7年,time
3個月,time
526,time
第6號,ID
兩年,time
兩年,time
