entity_text,entity_type
三多路,location
長庚醫院,location
奇美醫院,location
首爾,location
首爾,location
首爾護理之家,location
釜山,location
釜山,location
釜山,location
南韓交流道,location
南韓交流道,location
宇智波,location
木葉,location
宇智波,location
木葉,location
木葉宇智皮,location
波,location
宇智波忍術教室,location
宇智波,location
宇智波忍術教室,location
紐約,location
紐約,location
三樓,location
四樓,location
平壤,location
平壤,location
北韓,location
紐約,location
紐約,location
紐約,location
曼哈頓,location
紐約,location
曼哈頓,location
麻豆,location
101診間,location
101診間,location
美國,location
紐約,location
紐約,location
慶鴻學院,location
羅斯福路,location
學院,location
大安區,location
泰山區,location
泰山區,location
羅斯福路,location
泰山區,location
士林,location
士林,location
小明復健診所,location
小明,location
紐約,location
大陸,location
大陸,location
劍橋,location
劍橋醫院,location
劍橋醫院,location
劍橋,location
美國,location
巴西,location
巴西,location
巴西,location
紐約,location
紐約,location
日本,location
台北,location
士林,location
台北,location
台北士林,location
台北,location
士林,location
台北,location
士林,location
士林夜市,location
士林,location
士林夜市,location
東區新樓,location
東,location
東新,location
東新,location
東區,location
東區,location
新市,location
新市,location
十分瀑布,location
平溪,location
平溪,location
屏東,location
左鎮,location
左鎮分院,location
屏東,location
左鎮分院,location
左鎮分院,location
大,location
大陸,location
大陸,location
台東,location
台東,location
台東,location
中正路,location
中正路,location
台東,location
台東,location
紐約,location
紐約醫院,location
台北,location
台北,location
榮總,location
榮總,location
屏東市,location
沿海地區,location
學校,location
學校,location
紐約醫院,location
紐約醫院,location
紐約醫院,location
紐約醫院,location
紐約,location
紐約,location
三樓,location
四樓,location
平壤,location
平壤,location
北韓,location
嘉義,location
嘉義,location
嘉義,location
嘉義,location
嘉義,location
紐約,location
紐約,location
紐約,location
曼哈頓,location
紐約,location
曼哈頓,location
奇美,location
日本,location
日本,location
大阪,location
櫻花道,location
三組,location
三組,location
麻豆,location
101診間,location
101診間,location
日本,location
日本,location
台東,location
台東,location
台東,location
台東,location
紐約,location
東京,location
日本,location
日本,location
東京,location
東京,location
東京醫院,location
東京,location
日本,location
日本,location
高雄,location
左營,location
東部,location
台東,location
加路蘭,location
小野柳,location
小野柳,location
小野柳,location
台東,location
木葉診所,location
木葉忍者村,location
木葉路,location
木葉忍者村,location
木葉路,location
木葉,location
木葉忍者村,location
木葉,location
木葉,location
木葉診所,location
寮國,location
台中,location
彰化,location
彰化,location
台中,location
台中,location
榮總,location
榮總,location
高雄,location
學校,location
北部,location
中部,location
中部,location
台中,location
彰化,location
彰化,location
彰化醫院,location
美國,location
紐約,location
紐約,location
慶鴻學院,location
羅斯福路,location
學院,location
大安區,location
泰山區,location
泰山區,location
羅斯福路,location
泰山區,location
士林,location
士林,location
小明復健診所,location
小明,location
紐約,location
大陸,location
大陸,location
劍橋,location
劍橋,location
劍橋醫院,location
劍橋醫院,location
劍橋,location
美國,location
巴西,location
巴西,location
巴西,location
紐約,location
紐約,location
日本,location
台北,location
士林,location
台北,location
台北士林,location
台北,location
士林,location
台北,location
士林,location
士林夜市,location
士林,location
士林夜市,location
東區新樓,location
東……東新,location
東新,location
東區,location
東區,location
新市,location
新市,location
十分瀑布,location
平溪,location
平溪,location
屏東,location
左鎮,location
左鎮分院,location
屏東,location
左鎮分院,location
左鎮分院,location
大、大陸,location
大陸,location
台東,location
台東,location
台東,location
中正路,location
中正路,location
台東,location
台東,location
紐約,location
紐約醫院,location
台北,location
台北,location
榮總,location
榮總,location
屏東市,location
沿海地區,location
學校,location
學校,location
紐約醫院,location
紐約醫院,location
紐約醫院,location
紐約醫院,location
紐約,location
紐約,location
三樓,location
四樓,location
平壤,location
平壤,location
北韓,location
泰國,location
泰國,location
印度,location
嘉義,location
嘉義,location
嘉義,location
嘉義,location
嘉義,location
紐約,location
紐約,location
紐約,location
曼哈頓,location
紐約,location
曼哈頓,location
奇美,location
日本,location
日本,location
大阪,location
櫻花道,location
三組,location
三組,location
麻豆,location
101診間,location
101診間,location
泰國,location
泰國,location
日本,location
日本,location
泰國,location
泰國,location
泰國,location
泰國,location
泰國,location
台東,location
台東,location
台東,location
台東,location
紐約,location
泰國,location
東京,location
泰國,location
泰國,location
日本,location
日本,location
東京,location
東京,location
東京醫院,location
東京,location
日本,location
日本,location
泰國,location
泰國,location
高雄,location
左營,location
東部,location
台東,location
加路蘭,location
小野柳,location
小野柳,location
小野柳,location
台東,location
木葉診所,location
木葉忍者村,location
木葉路,location
木葉忍者村,location
木葉路,location
木葉,location
木葉忍者村,location
木葉,location
木葉,location
木葉診所,location
寮國,location
台中,location
彰化,location
彰化,location
台中,location
台中,location
榮總,location
榮總,location
高雄,location
學校,location
北部,location
中部,location
中部,location
台中,location
彰化,location
彰化,location
彰化醫院,location
台大,location
台大,location
台大,location
台大,location
台大,location
台大,location
台大,location
台大,location
台東,location
台東,location
金星眼科,location
公園眼科,location
公園眼科,location
公園,location
林綜合,location
林綜合,location
桃園,location
桃園,location
台北,location
桃園,location
桃園,location
高雄,location
高醫醫院,location
彰化,location
