entity_text,entity_type
68,med_exam
68,med_exam
10.78公分,med_exam
五十二百分比,med_exam
五十二百分比,med_exam
37.2,med_exam
35,med_exam
38,med_exam
38,med_exam
38點,med_exam
35,med_exam
9公分,med_exam
5,med_exam
5公分,med_exam
9公分,med_exam
十公分,med_exam
9公分,med_exam
55,med_exam
55,med_exam
52,med_exam
38度,med_exam
185,med_exam
185,med_exam
185,med_exam
155,med_exam
155,med_exam
155,med_exam
85.5公斤,med_exam
490,med_exam
374,med_exam
490,med_exam
490,med_exam
390,med_exam
290,med_exam
505,med_exam
九千七,med_exam
一萬五,med_exam
一萬零四百,med_exam
一萬零五百,med_exam
九千七,med_exam
71,med_exam
8.5,med_exam
12.4,med_exam
3.6,med_exam
180幾,med_exam
190,med_exam
190,med_exam
165,med_exam
165多,med_exam
37.3,med_exam
37.3,med_exam
78,med_exam
2.1,med_exam
371,med_exam
1.7,med_exam
1.7,med_exam
9.0,med_exam
1.7,med_exam
七公斤,med_exam
85,med_exam
102,med_exam
38.2,med_exam
384,med_exam
99,med_exam
99,med_exam
10、11公斤,med_exam
200,med_exam
15.3,med_exam
1.65,med_exam
1.03,med_exam
九點四,med_exam
十萬過一百,med_exam
70,med_exam
70,med_exam
103,med_exam
103,med_exam
103,med_exam
5.4,med_exam
5.9,med_exam
56,med_exam
57,med_exam
156,med_exam
156,med_exam
125,med_exam
42,med_exam
31,med_exam
125,med_exam
124,med_exam
181,med_exam
101,med_exam
5.6,med_exam
9,med_exam
62,med_exam
7.4,med_exam
6.1,med_exam
97,med_exam
111,med_exam
111,med_exam
111,med_exam
190,med_exam
86,med_exam
86,med_exam
280,med_exam
6.1,med_exam
6.3,med_exam
6.3,med_exam
7.2,med_exam
56,med_exam
56,med_exam
六千二,med_exam
六千二,med_exam
七千二,med_exam
56,med_exam
56,med_exam
6,med_exam
7,med_exam
54,med_exam
102,med_exam
33,med_exam
54,med_exam
33,med_exam
54,med_exam
54,med_exam
50,med_exam
六千二,med_exam
6.6,med_exam
6點多,med_exam
34,med_exam
34,med_exam
八百七十二,med_exam
872,med_exam
28,med_exam
112,med_exam
11,med_exam
12,med_exam
11,med_exam
12,med_exam
一百五十,med_exam
二十幾,med_exam
八十,med_exam
八十幾,med_exam
85,med_exam
0.8公分,med_exam
0.8公分,med_exam
0.4,med_exam
160,med_exam
130幾,med_exam
173,med_exam
124,med_exam
87,med_exam
4.9公分,med_exam
2.86公分,med_exam
五百一,med_exam
五百,med_exam
十點五,med_exam
十點,med_exam
十,med_exam
8.1,med_exam
8.1,med_exam
6.6,med_exam
8點多,med_exam
8點多,med_exam
8.1,med_exam
8.1,med_exam
146,med_exam
6.6,med_exam
6.6,med_exam
84,med_exam
84,med_exam
480,med_exam
510,med_exam
510,med_exam
510,med_exam
28,med_exam
33,med_exam
28,med_exam
3,med_exam
19,med_exam
1比5,med_exam
一點八,med_exam
80,med_exam
80,med_exam
83.2,med_exam
83.2,med_exam
405,med_exam
10,med_exam
10,med_exam
10,med_exam
19,med_exam
19,med_exam
19,med_exam
380,med_exam
六百,med_exam
五百,med_exam
五百,med_exam
三百八,med_exam
六點多,med_exam
七點多,med_exam
五點五八,med_exam
五點五八,med_exam
一百零一,med_exam
九點三,med_exam
九點三,med_exam
九點六,med_exam
70,med_exam
70,med_exam
172,med_exam
172,med_exam
57.6,med_exam
0.74,med_exam
25,med_exam
25,med_exam
50,med_exam
三十五,med_exam
一百六十八,med_exam
三百七,med_exam
三百多,med_exam
三,med_exam
四五八,med_exam
七二點三,med_exam
七二點三,med_exam
七十九,med_exam
八十,med_exam
二八六,med_exam
八十九,med_exam
八十九,med_exam
一百八,med_exam
一百八,med_exam
六十二點三,med_exam
六十二點三,med_exam
155,med_exam
115,med_exam
37度3,med_exam
37,med_exam
3,med_exam
2.7,med_exam
2.7,med_exam
17.6,med_exam
5.5,med_exam
155,med_exam
三點二,med_exam
二點五,med_exam
二點五,med_exam
一一五,med_exam
一三八,med_exam
一五三,med_exam
八十五,med_exam
八十五,med_exam
四十,med_exam
九十,med_exam
九十,med_exam
九十,med_exam
3B,med_exam
3B,med_exam
一二,med_exam
一二,med_exam
一二九,med_exam
一二,med_exam
一二一,med_exam
一五八,med_exam
一,med_exam
一五八,med_exam
八,med_exam
八十,med_exam
八十幾,med_exam
八點五,med_exam
十八點七,med_exam
六十幾,med_exam
40,med_exam
40,med_exam
40,med_exam
100,med_exam
10,med_exam
25,med_exam
10,med_exam
七公斤,med_exam
1.09,med_exam
1.1,med_exam
九,med_exam
85,med_exam
102,med_exam
38.2,med_exam
384,med_exam
99,med_exam
99,med_exam
10、11公斤,med_exam
200,med_exam
15.3,med_exam
1.65,med_exam
1.03,med_exam
九點四,med_exam
十萬過一百,med_exam
70,med_exam
70,med_exam
103,med_exam
103,med_exam
103,med_exam
5.4,med_exam
5.9,med_exam
56,med_exam
57,med_exam
156,med_exam
156,med_exam
125,med_exam
42,med_exam
31,med_exam
125,med_exam
124,med_exam
181,med_exam
101,med_exam
5.6,med_exam
9,med_exam
62,med_exam
7.4,med_exam
6.1,med_exam
97,med_exam
111,med_exam
111,med_exam
111,med_exam
190,med_exam
86,med_exam
86,med_exam
280,med_exam
6.1,med_exam
6.3,med_exam
6.3,med_exam
7.2,med_exam
56,med_exam
56,med_exam
六千二,med_exam
六千二,med_exam
七千二,med_exam
56,med_exam
56,med_exam
6,med_exam
7,med_exam
54,med_exam
102,med_exam
33,med_exam
54,med_exam
33,med_exam
54,med_exam
54,med_exam
50,med_exam
六千二,med_exam
6.6,med_exam
6點多,med_exam
34,med_exam
34,med_exam
八百七十二,med_exam
872,med_exam
28,med_exam
112,med_exam
11,med_exam
12,med_exam
11,med_exam
12,med_exam
一百五十,med_exam
二十幾,med_exam
八十,med_exam
八十幾,med_exam
85,med_exam
0.8公分,med_exam
0.8公分,med_exam
0.4,med_exam
160,med_exam
130幾,med_exam
173,med_exam
124,med_exam
87,med_exam
4.9公分,med_exam
2.86公分,med_exam
五百一,med_exam
五百,med_exam
十點五,med_exam
十點,med_exam
十,med_exam
8.1,med_exam
8.1,med_exam
6.6,med_exam
8點多,med_exam
8點多,med_exam
8.1,med_exam
8.1,med_exam
146,med_exam
6.6,med_exam
6.6,med_exam
84,med_exam
84,med_exam
480,med_exam
510,med_exam
510,med_exam
510,med_exam
28,med_exam
33,med_exam
28,med_exam
3,med_exam
19,med_exam
1比5,med_exam
一點八,med_exam
80,med_exam
80,med_exam
83.2,med_exam
83.2,med_exam
405,med_exam
10,med_exam
10,med_exam
10,med_exam
19,med_exam
19,med_exam
19,med_exam
380,med_exam
六百,med_exam
五百,med_exam
五百,med_exam
三百八,med_exam
六點多,med_exam
七點多,med_exam
五點五八,med_exam
五點五八,med_exam
一百零一,med_exam
九點三,med_exam
九點三,med_exam
九點六,med_exam
70,med_exam
70,med_exam
172,med_exam
172,med_exam
57.6,med_exam
0.74,med_exam
25,med_exam
25,med_exam
50,med_exam
三十五,med_exam
一百六十八,med_exam
三百七,med_exam
三百多,med_exam
三,med_exam
四五八,med_exam
七二點三,med_exam
七二點三,med_exam
七十九,med_exam
八十,med_exam
二八六,med_exam
八十九,med_exam
八十九,med_exam
一百八,med_exam
一百八,med_exam
