entity_text,entity_type
陳醫師,name
陳醫師,name
黃醫師,name
林醫師,name
承醫師,name
承太郎醫師,name
小明,name
小明,name
娜美,name
咪路,name
亞西吉,name
300,name
小櫻,name
小美,name
小美,name
浩克,name
浩克,name
小花,name
小美,name
小美,name
小美,name
小愛,name
千尋,name
賈伯斯,name
賈伯斯,name
賈伯斯,name
賈伯斯,name
賈伯斯,name
林醫師,name
林醫師,name
小明,name
小美,name
林醫師,name
林醫師,name
林醫師,name
林先生,name
小美,name
阿明,name
皮卡丘,name
水,name
水箭龜,name
水箭龜,name
水箭龜,name
皮卡丘,name
超夢,name
超夢,name
超夢,name
超夢,name
洛奇亞,name
皮卡丘,name
小美,name
小美,name
小美,name
林醫師,name
林醫師,name
非洲,name
冰島,name
冰島,name
非洲人,name
小美,name
林醫師,name
小美,name
林醫師,name
林醫師,name
黃醫師,name
黃醫師,name
王醫師,name
林醫師,name
林醫師,name
林醫師,name
林醫師,name
曾醫師,name
麻里愛,name
麻里愛,name
麻里愛,name
黃醫師,name
林醫師,name
林醫師,name
林醫師,name
林醫師,name
林醫師,name
林醫師,name
李醫師,name
李醫師,name
林醫師,name
王醫師,name
王醫師,name
王醫師,name
王醫師,name
林醫師,name
林醫師,name
許醫生,name
王醫師,name
王大華醫師,name
王醫師,name
林醫師,name
王醫師,name
陳小明,name
王大華,name
王醫師,name
吳醫師,name
許醫師,name
邵介,name
邵介,name
翰,name
明翰,name
林明翰,name
許醫師,name
陳醫師,name
林小姐,name
楷柔,name
張醫師,name
許醫師,name
小美,name
小美,name
小櫻,name
佐助,name
佐助,name
小,name
小櫻,name
佐助,name
林醫師,name
林醫師,name
林醫師,name
小美,name
李小美,name
林醫師,name
蔡醫師,name
鞏醫師,name
小華,name
小明,name
林小姐,name
小明,name
阿兩,name
黃,name
黃宗翰,name
黃宗翰,name
廖醫師,name
李醫師,name
林醫師,name
林醫師,name
林醫師,name
林醫師,name
小美,name
浩克,name
浩克,name
小櫻,name
小花,name
小美,name
小美,name
小美,name
張醫師,name
張醫師,name
呂學姐,name
呂小姐,name
王醫師,name
王醫師,name
王醫師,name
王醫師,name
小愛,name
小美,name
小美,name
小美,name
小美,name
日本,name
小明,name
小美,name
林醫師,name
喬,name
Chiao,name
Se,name
Fu,name
千尋,name
宇智波醫師,name
小明,name
小美,name
小櫻醫師,name
林小傑,name
張小姐,name
陳小龍,name
張小姐,name
張小姐,name
陳小姐,name
陳小姐,name
王醫師,name
王醫師,name
張小姐,name
張小姐,name
智孝,name
小明,name
陳明明醫師,name
陳明明醫師,name
賈伯斯,name
賈伯斯,name
賈伯斯,name
賈伯斯,name
賈伯斯,name
林醫師,name
林醫師,name
小明,name
小美,name
林醫師,name
林醫師,name
林醫師,name
林先生,name
小美,name
阿明,name
皮卡丘,name
水，水箭龜,name
水箭龜,name
水箭龜,name
皮卡丘,name
超夢,name
超夢,name
超夢,name
超夢,name
洛奇亞,name
皮卡丘,name
小美,name
小美,name
小美,name
林醫師,name
林醫師,name
非洲,name
冰島,name
冰島,name
非洲人,name
小美,name
林醫師,name
小美,name
林醫師,name
林醫師,name
黃醫師,name
黃醫師,name
王醫師,name
林醫師,name
林醫師,name
林醫師,name
林醫師,name
曾醫師,name
麻里愛,name
麻里愛,name
麻里愛,name
黃醫師,name
林醫師,name
林醫師,name
林醫師,name
林醫師,name
林醫師,name
林醫師,name
李醫師,name
李醫師,name
林醫師,name
王醫師,name
王醫師,name
王醫師,name
王醫師,name
林醫師,name
林醫師,name
許醫生,name
王醫師,name
王大華醫師,name
王醫師,name
林醫師,name
王醫師,name
陳小明,name
王大華,name
王醫師,name
吳醫師,name
許醫師,name
邵介,name
邵介,name
翰,name
明翰,name
林明翰,name
許醫師,name
陳醫師,name
林小姐,name
楷柔,name
張醫師,name
許醫師,name
小美,name
小美,name
小櫻,name
佐助,name
佐助,name
小，小櫻,name
佐助,name
林醫師,name
林醫師,name
林醫師,name
小美,name
李小美,name
林醫師,name
蔡醫師,name
鞏醫師,name
小華,name
小明,name
林小姐,name
小明,name
阿兩,name
黃醫師,name
黃宗翰,name
黃宗翰,name
廖醫師,name
李醫師,name
林醫師,name
林醫師,name
林醫師,name
林醫師,name
小美,name
浩克,name
浩克,name
小櫻,name
小花,name
小美,name
小美,name
小美,name
張醫師,name
張醫師,name
呂學姐,name
呂小姐,name
王醫師,name
王醫師,name
王醫師,name
王醫師,name
小愛,name
小美,name
小美,name
小美,name
小美,name
日本,name
小明,name
小美,name
林醫師,name
喬,name
Chiao,name
Se,name
Fu,name
千尋,name
宇智波醫師,name
小明,name
小美,name
小櫻醫師,name
林小傑,name
張小姐,name
陳小龍,name
張小姐,name
張小姐,name
陳小姐,name
陳小姐,name
王醫師,name
王醫師,name
張小姐,name
張小姐,name
智孝,name
小明,name
陳明明醫師,name
陳明明醫師,name
三井壽醫師,name
三井壽,name
王小明,name
王醫師,name
吳大方,name
林達陽醫師,name
許醫師,name
李醫師,name
李醫師,name
仙道彰醫師,name
仙道彰醫師,name
仙道彰醫師,name
仙醫師,name
仙醫師,name
仙醫師,name
小明,name
屋醫師,name
屋醫師,name
櫻木,name
小明,name
小明,name
小明,name
櫻木,name
小美,name
小明,name
小新,name
小明,name
曹醫師,name
林醫師,name
林醫師,name
中川,name
龔醫師,name
林醫師,name
小梅,name
黃醫師,name
林醫師,name
林醫師,name
阿明,name
黃國倫,name
黃醫師,name
黃醫師,name
娜美,name
索隆,name
索隆,name
阿明,name
阿明,name
林醫師,name
林醫師,name
小王,name
大次郎醫師,name
大次郎醫師,name
大次郎醫師,name
許醫師,name
林醫師,name
張醫師,name
林醫師,name
林醫師,name
洪醫師,name
洪家澤,name
洪醫師,name
陳小姐,name
陳小姐,name
陳小姐,name
雅惠,name
王,name
王,name
Wang,name
小美,name
小花,name
CHANG,name
XIAO,name
XIAO,name
MING,name
MING,name
蕭醫師,name
李醫師,name
李醫師,name
李允成,name
李醫師,name
小華,name
小花,name
小華,name
許醫師,name
王醫師,name
王醫師,name
王醫師,name
陳醫師,name
陳醫師,name
許花花,name
王大陸,name
毛醫師,name
毛醫師,name
陳醫師,name
王醫師,name
謝金燕姊姊,name
黃醫師,name
張醫師,name
大華,name
陳醫師,name
陳醫師,name
黃醫師,name
林醫師,name
承醫師,name
承太郎醫師,name
小明,name
小明,name
娜美,name
咪路,name
亞西吉,name
300,name
小櫻,name
小美,name
