entity_text,entity_type
堂姐,family
堂姊,family
堂妹,family
堂哥,family
堂弟,family
表姐,family
表姊,family
表妹,family
表哥,family
表弟,family
哥哥,family
哥,family
姊姊,family
姐姐,family
姐,family
姊,family
弟弟,family
弟,family
妹妹,family
妹,family
媽媽,family
媽,family
爸爸,family
爸,family
爸爸媽媽,family
爸媽,family
母親,family
父親,family
父親母親,family
爺爺,family
奶奶,family
爺爺奶奶,family
外公,family
外婆,family
外公外婆,family
大哥,family
二哥,family
小哥,family
大姐,family
大姊,family
二姐,family
二姊,family
叔叔,family
伯伯,family
叔父,family
伯父,family
大叔,family
二叔,family
三叔,family
小叔,family
大伯,family
二伯,family
三伯,family
姑姑,family
大姑,family
小姑,family
嬸嬸,family
伯母,family
兒子,family
大兒子,family
小兒子,family
女兒,family
大女兒,family
小女兒,family
老么,family
孫子,family
孫女,family
阿姨,family
大阿姨,family
二阿姨,family
三阿姨,family
小阿姨,family
舅舅,family
大舅舅,family
二舅舅,family
三舅舅,family
小舅舅,family
舅媽,family
大舅媽,family
二舅媽,family
小舅媽,family
姨丈,family
大姨丈,family
二姨丈,family
小姨丈,family
老大,family
老二,family
老三,family
爹,family
娘,family
祖父,family
外祖父,family
祖母,family
外祖母,family
我堂姐,family
你堂姐,family
他堂姐,family
我堂姊,family
你堂姊,family
他堂姊,family
我堂妹,family
你堂妹,family
他堂妹,family
我堂哥,family
你堂哥,family
他堂哥,family
我堂弟,family
你堂弟,family
他堂弟,family
我表姐,family
你表姐,family
他表姐,family
我表姊,family
你表姊,family
他表姊,family
我表妹,family
你表妹,family
他表妹,family
我表哥,family
你表哥,family
他表哥,family
我表弟,family
你表弟,family
他表弟,family
我哥哥,family
你哥哥,family
他哥哥,family
我哥,family
你哥,family
他哥,family
我姊姊,family
你姊姊,family
他姊姊,family
我姐姐,family
你姐姐,family
他姐姐,family
我姐,family
你姐,family
他姐,family
我姊,family
你姊,family
他姊,family
我弟弟,family
你弟弟,family
他弟弟,family
我弟,family
你弟,family
他弟,family
我妹妹,family
你妹妹,family
他妹妹,family
我妹,family
你妹,family
他妹,family
我媽媽,family
你媽媽,family
他媽媽,family
我媽,family
你媽,family
他媽,family
我爸爸,family
你爸爸,family
他爸爸,family
我爸,family
你爸,family
他爸,family
我爸爸媽媽,family
你爸爸媽媽,family
他爸爸媽媽,family
我爸媽,family
你爸媽,family
他爸媽,family
我母親,family
你母親,family
他母親,family
我父親,family
你父親,family
他父親,family
我父親母親,family
你父親母親,family
他父親母親,family
我爺爺,family
你爺爺,family
他爺爺,family
我奶奶,family
你奶奶,family
他奶奶,family
我爺爺奶奶,family
你爺爺奶奶,family
他爺爺奶奶,family
我外公,family
你外公,family
他外公,family
我外婆,family
你外婆,family
他外婆,family
我外公外婆,family
你外公外婆,family
他外公外婆,family
我大哥,family
你大哥,family
他大哥,family
我二哥,family
你二哥,family
他二哥,family
我小哥,family
你小哥,family
他小哥,family
我大姐,family
你大姐,family
他大姐,family
我大姊,family
你大姊,family
他大姊,family
我二姐,family
你二姐,family
他二姐,family
我二姊,family
你二姊,family
他二姊,family
我叔叔,family
你叔叔,family
他叔叔,family
我伯伯,family
你伯伯,family
他伯伯,family
我叔父,family
你叔父,family
他叔父,family
我伯父,family
你伯父,family
他伯父,family
我大叔,family
你大叔,family
他大叔,family
我二叔,family
你二叔,family
他二叔,family
我三叔,family
你三叔,family
他三叔,family
我小叔,family
你小叔,family
他小叔,family
我大伯,family
你大伯,family
他大伯,family
我二伯,family
你二伯,family
他二伯,family
我三伯,family
你三伯,family
他三伯,family
我姑姑,family
你姑姑,family
他姑姑,family
我大姑,family
你大姑,family
他大姑,family
我小姑,family
你小姑,family
他小姑,family
我嬸嬸,family
你嬸嬸,family
他嬸嬸,family
我伯母,family
你伯母,family
他伯母,family
我兒子,family
你兒子,family
他兒子,family
我大兒子,family
你大兒子,family
他大兒子,family
我小兒子,family
你小兒子,family
他小兒子,family
我女兒,family
你女兒,family
他女兒,family
我大女兒,family
你大女兒,family
他大女兒,family
我小女兒,family
你小女兒,family
他小女兒,family
我老么,family
你老么,family
他老么,family
我孫子,family
你孫子,family
他孫子,family
我孫女,family
你孫女,family
他孫女,family
我阿姨,family
你阿姨,family
他阿姨,family
我大阿姨,family
你大阿姨,family
他大阿姨,family
我二阿姨,family
你二阿姨,family
他二阿姨,family
我三阿姨,family
你三阿姨,family
他三阿姨,family
我小阿姨,family
你小阿姨,family
他小阿姨,family
我舅舅,family
你舅舅,family
他舅舅,family
我大舅舅,family
你大舅舅,family
他大舅舅,family
我二舅舅,family
你二舅舅,family
他二舅舅,family
我三舅舅,family
你三舅舅,family
他三舅舅,family
我小舅舅,family
你小舅舅,family
他小舅舅,family
我舅媽,family
你舅媽,family
他舅媽,family
我大舅媽,family
你大舅媽,family
他大舅媽,family
我二舅媽,family
你二舅媽,family
他二舅媽,family
我小舅媽,family
你小舅媽,family
他小舅媽,family
我姨丈,family
你姨丈,family
他姨丈,family
我大姨丈,family
你大姨丈,family
他大姨丈,family
我二姨丈,family
你二姨丈,family
他二姨丈,family
我小姨丈,family
你小姨丈,family
他小姨丈,family
我老大,family
你老大,family
他老大,family
我老二,family
你老二,family
他老二,family
我老三,family
你老三,family
他老三,family
我爹,family
你爹,family
他爹,family
我娘,family
你娘,family
他娘,family
我祖父,family
你祖父,family
他祖父,family
我外祖父,family
你外祖父,family
他外祖父,family
我祖母,family
你祖母,family
他祖母,family
我外祖母,family
你外祖母,family
他外祖母,family
