entity_text,entity_type
打撲克牌,profession
保險,profession
Google,profession
公務,profession
教授,profession
肝膽科,profession
肝膽,profession
ubereats,profession
工程師,profession
送報紙,profession
飲料店,profession
送牛奶,profession
水餃店,profession
水餃,profession
八方,profession
工地,profession
矽晶圓,profession
外資,profession
替代役,profession
急診,profession
ＥＣＭ,profession
學校,profession
金融業,profession
銀行員,profession
消防員,profession
老師,profession
工程士,profession
飲料鋪,profession
正教授,profession
副教授,profession
助理教授,profession
公務員,profession
保險員,profession
內勤人員,profession
外勤人員,profession
負責人,profession
廠長,profession
農場經營者,profession
農夫,profession
長短工,profession
果農,profession
苗圃栽培人員,profession
花圃栽培人員,profession
飼養家禽家畜人員,profession
農業技師,profession
農業機械之操作或修護人員,profession
農具商,profession
農會指導員,profession
推廣員,profession
採檳榔工,profession
採椰子工,profession
糖廠技工,profession
昆蟲,profession
養鴿,profession
放鴿人員,profession
農產品加工業實驗人員,profession
品管人員,profession
農產品加工業領班,profession
工人,profession
駕駛搬運車,profession
駕駛拼裝車,profession
茶農,profession
檳榔種植,profession
農產流籠搬運,profession
病蟲害防治人員,profession
農藥製造工,profession
農具製造工,profession
畜牧場經營者,profession
畜牧工作人員,profession
獸醫,profession
獸醫,profession
訓犬人員,profession
寵物店醫生,profession
漁塭經營者,profession
漁塭經營者,profession
養殖工人,profession
養殖工人,profession
水族館經營者,profession
捕魚人,profession
捕魚人,profession
水產實驗人員,profession
水產實驗人員,profession
釣魚,profession
釣蝦場經營者,profession
海邊撈魚苗者,profession
漁產加工業實驗人員,profession
品管員,profession
漁產加工業領班,profession
一般工人,profession
漁洋,profession
遠洋漁船船員,profession
近海漁船船員,profession
海釣船人員,profession
領班,profession
監工,profession
伐木工人,profession
鋸木工人,profession
運材車輛之司機及押運人員,profession
起重機之操作人,profession
裝運工人,profession
起重機之掛鉤人,profession
木材工廠現場之職員,profession
分級員,profession
檢查員,profession
標記員,profession
磅秤員,profession
防腐劑工人,profession
木材儲藏槽工人,profession
木材搬運工人,profession
吊車操作人員,profession
合板製造工人,profession
合板製造品管員,profession
山地造林工人,profession
山林管理人員,profession
森林防火人員,profession
平地育苗工人,profession
實驗室育苗栽培人員,profession
樹苗區除草工,profession
馬路景觀工作人員,profession
花園,profession
景觀工作人員,profession
森林解說員,profession
巡山員,profession
礦工,profession
經營者,profession
經營者,profession
經理人員,profession
礦業工程師,profession
技師,profession
領班,profession
工礦安全人員,profession
所有作業人員,profession
採石業工人,profession
採砂業工人,profession
採石業工人,profession
採石業工人,profession
砂石場負責人,profession
採石爆破人員,profession
石材切割工人,profession
石材磨光工人,profession
行政人員,profession
技術員,profession
油氣井清潔保養修護工,profession
鑽勘設備安裝換修保養工,profession
鑽油井工人,profession
計程車行,profession
貨運行之負責人,profession
外務員,profession
內勤工作人員,profession
自用小客車司機,profession
自用大客車司機,profession
計程車司機,profession
遊覽車司機及服務員,profession
客運車司機及服務員,profession
小型客貨兩用車司機,profession
自用貨車司機,profession
隨車工人,profession
小型自用貨車司機,profession
人力三輪車伕,profession
鐵牛車駕駛人員,profession
機動三輪車伕,profession
櫃臺售票員,profession
客運車稽核人員,profession
營業用貨車司機,profession
營業用貨車隨車工人,profession
搬運工人,profession
砂石車司機,profession
隨車工人,profession
工程卡車司機,profession
隨車工人,profession
液化,profession
氣化油罐車司機,profession
隨車工人,profession
貨櫃車司機,profession
隨車工人,profession
纜車操縱員,profession
救護車司機,profession
隨車人員,profession
聯結車司機,profession
隨車工人,profession
混凝土預拌車司機,profession
隨車工人,profession
拖吊車司機及人員,profession
挑挽工人,profession
貨櫃場吊車駕駛,profession
貨櫃場管理員,profession
拖板車人員,profession
堆高機駕駛,profession
拼裝車駕駛,profession
垃圾車司機,profession
隨車人員,profession
小貨車送貨員,profession
高速公路巡迴拖吊車司機,profession
機動三輪車之司機及助手,profession
站長,profession
票房工作人員,profession
播音員,profession
一般內勤人員,profession
車站剪票員,profession
服務臺人員,profession
月臺工作人員,profession
行李搬運工人,profession
車站清潔工人,profession
隨車人員,profession
駕駛員,profession
燃料填充員,profession
機工,profession
電工,profession
修護廠廠長,profession
修護廠一般內勤人員,profession
修護廠工程師,profession
修護廠技工,profession
修路工,profession
鐵路維護工,profession
平交道看守人員,profession
鐵路貨運：領班,profession
鐵路貨運：搬運工人,profession
鐵路巡查人員,profession
捷運司機,profession
捷運局站務人員,profession
捷運修護廠廠長,profession
捷運修護廠工程師,profession
捷運修護廠技工,profession
船長,profession
輪機長,profession
大副,profession
二副,profession
三副,profession
大管輪,profession
二管輪,profession
三管輪,profession
報務員,profession
