entity_text,entity_type
臉書,contact
臉書,contact
臉書,contact
臉書,contact
Grindr,contact
Hornet,contact
Grindr,contact
Grindr,contact
Grindr,contact
Grindr,contact
Hornet,contact
Hornet,contact
Grindr,contact
Grindr,contact
tinder,contact
tinder,contact
Hornet,contact
tinder,contact
tinder,contact
LINE,contact
LINE,contact
LINE,contact
臉書,contact
臉書,contact
臉書,contact
臉書,contact
ＬＩＮＥ,contact
ＬＩＮＥ,contact
ＬＩＮＥ,contact
ＬＩＮＥ,contact
Grindr,contact
Hornet,contact
Grindr,contact
Grindr,contact
Grindr,contact
Grindr,contact
Hornet,contact
Hornet,contact
Grindr,contact
Grindr,contact
line,contact
tinder,contact
tinder,contact
Hornet,contact
line,contact
line,contact
Line,contact
tinder,contact
tinder,contact
0945678393,contact
LINE,contact
0978936572,contact
e-mail,contact
line,contact
badboyisme,contact
ＬＩＮＥ,contact
0983333786,contact
ＬＩＮＥ,contact
ＬＩＮＥ,contact
www.prep.gov,contact
MAIL,contact
MAIL,contact
EMAIL,contact
EMAIL,contact
EMAIL,contact
EMAIL,contact
MAIL,contact
MAIL,contact
MAIL,contact
LINE,contact
LINE,contact
