entity_text,entity_type
兩百多萬,money
兩百多萬,money
兩百多萬,money
十塊錢,money
二十塊,money
四百二十塊,money
兩千多塊,money
兩千多塊,money
300,money
300,money
300,money
300,money
200塊,money
200塊,money
500,money
500,money
300,money
500,money
500,money
兩百,money
200,money
200,money
350,money
500塊,money
500塊,money
一千七,money
300塊,money
250,money
230塊,money
一萬到二萬,money
一萬到二萬,money
一萬,money
九十,money
九十六塊,money
六千,money
七千,money
三千五,money
三千五,money
六千塊,money
六千,money
五百塊,money
兩百一十,money
兩百,money
幾十塊,money
175塊,money
25塊,money
一千七,money
1700,money
900,money
7800多塊,money
7800,money
30000,money
30000塊,money
30000,money
３４５,money
300塊,money
250,money
230塊,money
一萬到二萬,money
一萬到二萬,money
一萬,money
五百塊,money
兩千,money
一千七,money
五千塊,money
五千五百塊,money
600塊,money
200,money
250塊,money
五百多塊,money
一萬五左右,money
五千,money
五千五,money
一千八,money
2000,money
2000,money
2000,money
2000,money
2000,money
五百多塊,money
一千五,money
六千多塊,money
一萬八,money
六千多,money
六千塊,money
一萬八,money
一萬八,money
六千多,money
六千多,money
六千多,money
一萬八,money
六千多,money
六千多,money
一千三左右,money
九百,money
一千三左右,money
一百塊,money
6000,money
6000,money
513塊,money
513,money
兩千多,money
兩萬,money
2100塊,money
500多,money
500,money
400,money
500,money
400多,money
1200塊,money
九十,money
九十六塊,money
六千,money
七千,money
三千五,money
三千五,money
六千塊,money
六千,money
五百塊,money
兩百一十,money
兩百,money
幾十塊,money
175塊,money
25塊,money
一千七,money
1700,money
900,money
7800多塊,money
7800,money
30000,money
30000塊,money
30000,money
３４５,money
300塊,money
250,money
230塊,money
一萬到二萬,money
一萬到二萬,money
一萬,money
五百塊,money
兩千,money
一千七,money
五千塊,money
五千五百塊,money
600塊,money
200,money
250塊,money
五百多塊,money
一萬五左右,money
五千,money
五千五,money
一千八,money
2000,money
2000,money
2000,money
2000,money
2000,money
五百多塊,money
一千五,money
六千多塊,money
一萬八,money
六千多,money
六千塊,money
一萬八,money
一萬八,money
六千多,money
六千多,money
六千多,money
一萬八,money
六千多,money
六千多,money
一千三左右,money
九百,money
一千三左右,money
一百塊,money
6000,money
6000,money
513塊,money
513,money
兩千多,money
兩萬,money
2100塊,money
500多,money
500,money
400,money
500,money
400多,money
1200塊,money
1500,money
300塊,money
300,money
3000塊,money
1600,money
3800,money
3800,money
三萬,money
三萬五,money
三萬六,money
1200,money
800,money
900,money
900多,money
500多,money
1000塊,money
五千五,money
五千五,money
4430,money
1500,money
一千五,money
414,money
一千五,money
兩百多萬,money
兩百多萬,money
兩百多萬,money
十塊錢,money
二十塊,money
四百二十塊,money
兩千多塊,money
兩千多塊,money
300,money
300,money
300,money
300,money
200塊,money
200塊,money
500,money
500,money
300,money
500,money
500,money
兩百,money
200,money
200,money
350,money
500塊,money
500塊,money
