entity_text,entity_type
十天,time
四五天,time
3月18號,time
3月24日,time
3月24,time
禮拜二,time
禮拜四,time
3月31日,time
三個月,time
五個月,time
二零一六年,time
四年,time
四年,time
四年,time
一個半月,time
兩個禮拜,time
三個禮拜,time
４２,time
４２,time
５月份５月１號,time
五月一號,time
三個禮拜,time
前年,time
前年,time
三月份,time
前年三月份,time
三、四個月,time
2,time
2016年10月19號,time
今年的年初,time
兩三年,time
早上,time
中午,time
中午,time
晚上,time
三個禮拜,time
21顆,time
五次,time
六個月,time
一年,time
三個禮拜,time
三個禮拜,time
三個禮拜,time
6月20號,time
兩個禮拜三個禮拜,time
三個禮拜,time
三個禮拜,time
八十歲,time
後天,time
明天,time
後天,time
兩點,time
兩點三點四點,time
兩點,time
兩點多,time
三點多,time
四點多,time
二個禮拜,time
二個禮拜,time
前天,time
昨天,time
二十分鐘,time
五年,time
兩個禮拜,time
前天,time
前天,time
前天下午,time
前天,time
晚上,time
五天,time
禮拜三,time
五天禮拜三,time
禮拜三下午,time
兩個月,time
一個禮拜,time
四天,time
四,time
四十分鐘,time
一個小時,time
兩個月,time
兩個月,time
兩個月份,time
兩個,time
90顆,time
90顆,time
兩張,time
三張,time
三張,time
一年半,time
一年半,time
上上個月,time
一年半,time
上上個月,time
上上個月,time
一年半前,time
一年半,time
一年半,time
三個禮,time
三個禮,time
禮拜,time
三個禮拜,time
五個月前,time
五個月前,time
五個月,time
2017年,time
2017年,time
2019,time
2017,time
12月25,time
去年,time
去年,time
去年,time
去,time
去年,time
去年,time
三份,time
兩個月,time
兩,time
兩個月,time
兩個月份,time
兩個月份,time
兩個月份,time
60顆,time
兩個月份,time
三個禮拜,time
三個禮拜,time
三個禮拜,time
三個禮拜,time
三個禮拜,time
三個禮拜,time
兩個禮拜,time
四月二十日,time
兩個,time
兩個禮拜,time
666,time
666,time
098,time
098,time
7403,time
7403,time
6660897403,time
666098,time
0987403,time
兩個月,time
半年,time
半年,time
2月20號,time
4月20號,time
5月,time
5月,time
5月初,time
兩個禮拜,time
一個半月,time
5月1號,time
六周,time
5月,time
四個禮拜,time
四個禮拜,time
4月17,time
4月17,time
3月20號,time
四個禮拜,time
2月20號,time
6000公尺,time
這兩個月,time
昨天,time
兩個月,time
3個月,time
九、十點,time
九、十點晚上,time
晚上,time
晚上,time
三年多,time
三年多,time
三年多,time
5個月,time
兩個月,time
近四個月,time
1,time
近七個月,time
兩次,time
一個禮拜,time
一兩個禮拜,time
一兩個禮拜,time
9月28號,time
26,time
26,time
8,time
9點,time
這兩個月,time
9點,time
9點,time
6,time
7點,time
一個月,time
兩個月,time
兩個月,time
兩個月,time
6月10日,time
8點,time
早上6點,time
8點,time
晚上6點,time
6點,time
6點,time
6點,time
4點,time
6點,time
7點,time
7點,time
6點,time
6點,time
6點,time
6點,time
10點,time
6點,time
6點,time
兩個月,time
一個星期,time
一個星期,time
一星期,time
兩個月,time
3月,time
一年,time
一年,time
一年,time
兩個月,time
兩個月,time
3月份,time
3月份,time
上個禮拜五,time
5個小時,time
兩年半,time
兩年半,time
4月份,time
兩年,time
一個月,time
兩個月,time
兩個月,time
昨天,time
昨天,time
今天早上,time
昨天,time
5月24,time
5月24號,time
6月3號,time
6月3號,time
50分鐘,time
第一個月,time
二,time
二,time
三,time
一,time
二,time
第三個月,time
4月27,time
第三個月,time
第二個月,time
第三,time
第三個月,time
第三,time
8月1號,time
三次,time
那三次,time
8月21,time
8月2號,time
821,time
8,time
2,time
821,time
三個月,time
三年,time
三年,time
5月28日,time
一年,time
九到十二個月,time
九到十二個月,time
五個月,time
4,time
5次,time
4,time
5次,time
前天,time
前天,time
前天,time
兩年多,time
第四個月,time
5月30號,time
第四個月,time
前天,time
前天,time
前年,time
去年,time
前年,time
前年,time
三月十八,time
兩個月,time
下下禮拜,time
下下禮拜,time
三月二十一,time
兩個禮拜,time
兩個禮拜,time
後天,time
下下禮拜,time
下下個禮拜,time
下下禮拜,time
七號,time
四月,time
二十號,time
下下禮拜七號,time
下下禮拜九號,time
四月四號,time
三個,time
五天,time
前天,time
前天,time
下午四點,time
一點半兩點,time
六天,time
禮拜三,time
禮拜一禮拜二,time
9月24號,time
兩點,time
三個禮拜,time
三個禮拜,time
6月4號,time
兩個月,time
三個禮拜,time
上上個禮拜,time
上上個禮拜,time
上上個禮拜幾,time
上上個禮拜六,time
早上,time
一個半小時,time
一個半小時,time
7年,time
3個月,time
526,time
兩年,time
兩年,time
上上個禮拜,time
上上個禮拜,time
上上個禮拜,time
五天,time
上上個禮拜,time
20多歲,time
6月初,time
6月21日,time
6月21號,time
6月21號,time
6月24號,time
6月25號,time
6月15號,time
禮拜三,time
兩天,time
6月24號,time
10點,time
三周,time
三次,time
五月十二號,time
九個月,time
九個半月,time
九個月又兩天,time
九個月又兩天,time
九個半月,time
六月十三,time
二零一八六月十三,time
四個月,time
半年,time
半年,time
明年一月,time
一月,time
禮拜五,time
下個禮拜五,time
下禮拜五,time
禮拜五,time
早上,time
早上時段,time
禮拜五,time
禮拜五早上,time
禮拜三,time
下個禮拜三,time
禮拜三,time
星期三,time
星期三,time
早上,time
下午,time
下午,time
兩天,time
上午時段,time
下午時段,time
上午的時段,time
禮拜五,time
下禮拜五,time
下禮拜五,time
四月二十,time
四月二十,time
四月十三號,time
二十號,time
二十號,time
二十號,time
第八號,time
下下個禮拜五,time
下午第八號,time
五樓,time
四月二十號,time
五樓,time
四月二十,time
早上,time
第八號,time
六,time
六月,time
六月一號,time
六月一號,time
兩個月,time
四月一號,time
九天,time
三個禮拜,time
十一點多,time
兩個禮拜,time
兩個禮拜,time
六月十四號,time
去年11月,time
前三週,time
前三週,time
11月28,time
11月,time
11月,time
5月29號,time
二月,time
二月,time
半年,time
一年,time
兩年,time
兩年,time
2個多小時,time
一年,time
一年,time
一年,time
兩個月,time
聖誕節,time
兩個禮拜,time
兩個禮拜,time
5號,time
前天,time
兩個禮拜,time
兩個禮拜,time
半年,time
下下個月,time
5月5號,time
5月5號,time
5月2號,time
三天,time
5月7號,time
5月7號,time
5號,time
2號,time
7號,time
禮拜一,time
5月7號,time
十點,time
三個禮拜,time
三個禮拜,time
三個禮拜,time
兩個禮拜,time
5月16,time
兩個禮拜,time
五,time
六月底,time
六月底,time
六月二十八號,time
兩個禮拜,time
兩個禮拜,time
下下個禮拜,time
下下下禮拜,time
下下下個禮拜二,time
下下下個禮拜二,time
兩個禮拜,time
六點多,time
六點多,time
十二,time
一點,time
七個小時,time
凌晨六點,time
兩年,time
兩年,time
前年,time
四月二十七,time
五月三號,time
五月三號,time
六個禮拜,time
兩個禮拜,time
四周,time
兩個月,time
兩個月,time
禮拜四,time
七月三號,time
端午節,time
七月二號,time
七月四號禮拜五,time
七月四號,time
一個禮拜,time
二十年,time
二十年,time
2010年,time
六月初,time
六月初,time
十二月底,time
一月初,time
三,time
四,time
三,time
四,time
三個月,time
二十幾年,time
三個月,time
三個月,time
五十幾歲,time
四個月,time
9月21號,time
9月22號,time
22號,time
9月22號,time
9月22號,time
禮拜二,time
禮拜一,time
前天,time
前天,time
上上禮拜,time
一個禮拜,time
一個禮拜,time
三個禮拜,time
三個禮拜,time
五月二十八,time
五二八,time
五二八,time
五二八,time
一,time
二晚上,time
兩個月,time
兩個月,time
兩個月,time
上禮拜四,time
上禮拜四,time
禮拜五,time
下下禮拜,time
下下禮拜,time
8月23號,time
三天,time
三天,time
前天,time
前天,time
4～5個小時,time
上午,time
上午,time
上午,time
上午,time
12月11號,time
11月10號,time
三十多年,time
60歲,time
10個小時,time
上上個禮拜,time
10點,time
4點,time
7點,time
9點,time
10點,time
前天,time
前天,time
前天,time
前天,time
前天,time
上個月,time
三個禮拜,time
三個禮拜,time
兩個禮拜,time
兩個禮拜,time
兩個禮拜,time
三個禮拜,time
三個禮拜,time
兩個禮拜,time
兩個禮拜,time
下下禮拜,time
三個月,time
七月底,time
兩個月,time
五六天,time
五六天,time
今天,time
後天,time
後天,time
四個禮拜,time
四個禮拜,time
四個禮拜,time
兩個月,time
兩個月,time
幾個禮拜,time
前年前年,time
前年,time
前年七月,time
前年七月,time
8月,time
8月5號,time
2個月,time
2個月,time
六個禮拜,time
上次,time
八月二十,time
八月一號,time
三號,time
一號,time
八月一號,time
八月一號,time
一個禮拜,time
一個禮拜,time
一個禮拜,time
一個禮拜,time
一個禮拜,time
一個禮拜,time
2018,time
2019,time
20193月,time
兩年多,time
去年3月,time
3月2019,time
20193月,time
7月7,time
下禮拜二,time
半個月,time
半個月,time
11月10號,time
六月初,time
六月九號,time
三月初,time
三月二號,time
三月二號,time
三月十八號,time
三月十二號,time
三月十八,time
第一次,time
今天,time
這禮拜,time
一個禮拜,time
一個禮拜,time
五十二歲,time
這禮拜,time
下下禮拜,time
下禮拜,time
三週,time
兩週,time
一個月,time
三個月,time
三個月,time
三個禮拜,time
一個禮拜,time
兩週,time
第三週,time
三週,time
三週,time
四月初,time
禮拜五,time
上上禮拜,time
上上禮拜,time
八月六號,time
兩星期,time
兩個月,time
三個月,time
兩個月,time
兩個月,time
兩個月,time
農曆八月,time
八個禮拜,time
兩個月,time
去年,time
前年,time
前年,time
兩年,time
兩年,time
兩年,time
前年,time
十月,time
十一月,time
十二月,time
二十幾,time
兩個月,time
兩個月,time
一個禮拜,time
下下個月,time
九月中,time
昨天,time
昨天,time
下下個月,time
十二天,time
四個月,time
下下個月,time
禮拜四,time
三四年,time
下下禮拜,time
10月7號,time
下下禮拜,time
下下個禮拜,time
下下個禮拜,time
禮拜二,time
下下禮拜,time
11月2號,time
禮拜三,time
下下禮拜,time
下下禮拜,time
禮拜二早上,time
八月,time
九月十號,time
兩個禮拜,time
兩個禮拜,time
一個月,time
九月十號,time
九月十號,time
上午,time
上午,time
九月十號,time
六十二歲,time
二十八天,time
二十八天,time
九月十號,time
九月十日,time
十四天,time
十四天,time
十四天,time
兩個禮拜,time
兩個禮拜,time
十四,time
兩個禮拜,time
兩個禮拜,time
兩個禮拜,time
一個月,time
九月十號,time
九月十號,time
五個月,time
半年後,time
兩個月,time
兩個月,time
8月25號,time
兩個禮拜,time
五個月,time
五個月,time
四月,time
今天,time
3月15號,time
三月,time
八月,time
兩個月,time
半年,time
半年,time
半年,time
6年,time
六個月,time
六個月,time
六個月,time
三個月,time
一個月,time
五,time
六個月,time
三個月,time
半年,time
五月,time
四,time
五月,time
三月,time
四個禮拜,time
今天,time
九月三號,time
明天,time
下下個禮拜,time
下下個禮拜,time
下下個禮拜,time
早上,time
早上,time
下下禮拜,time
下下個月,time
下下個月,time
八號,time
九月八號,time
九月十號,time
九月十號,time
禮拜五,time
禮拜五,time
三月二號,time
一天,time
五天,time
五天,time
十月,time
十月,time
十一八,time
十一八,time
十一八,time
十一月八號,time
三個月,time
第二個月,time
這個月,time
今天,time
六個,time
六個禮拜,time
四月三號,time
今天,time
今天,time
六個禮拜,time
今天,time
今天,time
下週,time
下下週,time
今天,time
今天,time
下個禮拜,time
下個禮拜,time
下禮拜,time
下禮拜,time
八個小時,time
三個小時,time
前三小時,time
八小時後,time
前三小時,time
八個小時,time
下個禮拜四月十號,time
今天,time
上個月,time
晚上,time
晚上,time
今天,time
今天,time
這幾天,time
早晚,time
這幾天,time
這幾天,time
今天,time
今天,time
一個禮拜,time
前天,time
早晚,time
下禮拜,time
下禮拜,time
下禮拜四,time
下禮拜四,time
早上,time
早上,time
下午,time
下午,time
下午,time
今天,time
下禮拜,time
今天,time
下禮拜,time
下禮拜,time
下禮拜四,time
早晚,time
6月18號,time
前兩三天,time
前一天晚上,time
早上4點,time
9點多,time
三四年,time
5月份,time
5月份,time
半年,time
6月12號,time
8月28號,time
29號,time
2個,time
2個月,time
晚上,time
晚上睡前,time
11月21,time
11月21,time
10週,time
11月21,time
明天,time
禮拜一禮拜二今天兩天,time
禮拜二,time
半夜,time
禮拜四,time
禮拜五,time
昨天,time
昨天,time
這兩天,time
今天晚上,time
今天早上,time
明天,time
一個禮拜,time
一個禮拜,time
明天,time
明天,time
明天,time
半個小時,time
兩三天,time
一歲,time
一歲,time
禮拜一禮拜三,time
禮拜四,time
一,time
三,time
一三四,time
一三,time
一三,time
一三,time
下午,time
一,time
一,time
三,time
下午,time
下禮拜三,time
禮拜一,time
下禮拜一,time
禮拜一,time
禮拜三,time
下禮拜一,time
禮拜一,time
下禮拜一,time
6月15,time
6,time
6月15,time
6月15,time
6月17,time
6月17號,time
6月15,time
6月15,time
五月三十一號,time
每天,time
五個月,time
十五年前,time
三年,time
三年,time
五年,time
九十幾歲,time
今天,time
五個月,time
七月三十一號,time
今天早上,time
今天早上,time
晚上,time
早上,time
下午,time
早上,time
今天,time
下午,time
下午,time
上禮拜,time
晚上,time
晚上,time
明天,time
今天,time
兩個月,time
兩個禮拜,time
兩個禮拜,time
四週,time
一個月,time
一天,time
一天,time
一天,time
一個月,time
一個月,time
四個禮拜,time
四個禮拜,time
十月二號,time
禮拜三禮拜四,time
禮拜三禮拜四,time
禮拜三禮拜四,time
這三天,time
今天,time
今天,time
6月15,time
兩個月,time
下下禮拜,time
這兩個月,time
昨天,time
兩個月,time
3個月,time
這個月,time
這兩個月,time
5個月,time
4個多月,time
第5個月,time
這個月,time
這個月,time
這個月,time
12月,time
五、六年,time
七、八個月,time
七、八個月,time
這七、八個月,time
上個月,time
上個月,time
每星期三四,time
二三四,time
禮拜二到禮拜六,time
十一點,time
兩個月,time
七月,time
七月,time
七月,time
七月二十一,time
十月二號,time
九、十點,time
九、十點晚上,time
晚上,time
晚上,time
三年多,time
三年多,time
三年多,time
5個月,time
兩個禮拜,time
兩個月,time
兩個月,time
一年,time
一年,time
七成,time
兩個月,time
近四個月,time
近七個月,time
一個禮拜,time
一兩個禮拜,time
一兩個禮拜,time
9月28號,time
26,time
26,time
五月三十號,time
禮拜五,time
晚上八點,time
六點,time
六點,time
五月,time
五月三十一號,time
六點,time
六月一號,time
六月一號,time
六點,time
六月,time
六月一號,time
六月一號晚上,time
十點,time
六點,time
五,time
六,time
日,time
五,time
六,time
日,time
一,time
兩個月,time
十點鐘,time
兩個月,time
兩個月,time
兩年,time
兩年,time
兩年,time
一年半,time
這一年,time
兩個月,time
兩個月,time
兩個月,time
兩個月,time
兩個月,time
前幾天,time
前幾天,time
兩個月,time
前幾天,time
兩個月,time
8、9點,time
這兩個月,time
9點,time
9點,time
6,time
7點,time
一個月,time
兩個月,time
兩個月,time
兩個月,time
6月10日,time
8點,time
早上6點,time
8點,time
晚上6點,time
6點,time
6點,time
6點,time
4點,time
6點,time
7點,time
7點,time
6點,time
6點,time
6點,time
6點,time
10點,time
6點,time
6點,time
兩個月,time
兩個月,time
兩個月,time
兩年,time
兩個月,time
一個星期,time
一個星期,time
一星期,time
兩個月,time
3月,time
一年,time
一年,time
一年,time
兩個月,time
兩個月,time
3月份,time
3月份,time
上個禮拜五,time
5個小時,time
兩年半,time
兩年半,time
4月份,time
兩年,time
一個月,time
兩個月,time
3月7號,time
去年年初,time
一月,time
一年,time
一年,time
兩個月,time
兩個月,time
今天,time
兩個月,time
兩個禮拜,time
兩個月,time
兩個禮拜,time
16小時,time
8、8小時,time
6、6,time
6、6,time
6、6,time
半年,time
半年,time
五月份,time
五月份,time
五六七八,time
六七八九,time
六月份,time
五月份,time
六月份,time
五六七八九,time
4月12,time
4月12,time
五月份,time
4月12,time
四五六七八九,time
6個月,time
9月,time
4月,time
2020年,time
2020年,time
4月,time
4月,time
兩年,time
2020年,time
五年,time
兩年,time
兩年,time
一年,time
這個月,time
這個月,time
