article_id	start_position	end_position	entity_text	entity_type
1	76	80	0.79	med_exam
1	94	96	88	med_exam
1	122	124	60	med_exam
1	179	181	20	med_exam
1	182	184	19	med_exam
1	258	261	2.6	med_exam
1	366	369	6.6	med_exam
1	385	388	6.6	med_exam
1	394	397	8.3	med_exam
1	407	410	8.3	med_exam
1	418	421	8.3	med_exam
1	463	466	6.2	med_exam
2	170	174	1100	med_exam
2	245	249	1145	med_exam
2	275	278	500	med_exam
2	452	453	4	med_exam
2	678	680	55	med_exam
2	681	683	57	med_exam
2	699	701	52	med_exam
2	872	873	3	med_exam
2	880	881	3	med_exam
2	1090	1094	7.56	med_exam
2	1119	1120	3	med_exam
4	148	152	36．9	med_exam
4	157	162	36．9度	med_exam
4	163	168	36．9度	med_exam
4	173	179	114/66	med_exam
4	210	211	4	med_exam
4	215	218	622	med_exam
4	288	290	15	med_exam
4	299	301	30	med_exam
4	303	305	12	med_exam
4	319	321	15	med_exam
4	326	328	31	med_exam
5	106	108	20	med_exam
5	151	155	9700	med_exam
5	162	166	9700	med_exam
5	171	175	9700	med_exam
5	699	703	9000	med_exam
5	2223	2227	9700	med_exam
5	2241	2245	9700	med_exam
5	2268	2270	20	med_exam
5	2271	2273	20	med_exam
5	2275	2277	20	med_exam
5	2309	2311	90	med_exam
5	2312	2315	100	med_exam
6	106	112	二點一二公分	med_exam
6	238	243	四點一公分	med_exam
6	2261	2264	三五八	med_exam
7	373	375	30	med_exam
8	37	38	4	med_exam
8	39	44	九百一十三	med_exam
8	124	127	四十一	med_exam
8	129	131	十九	med_exam
9	1453	1459	14幾15幾	med_exam
9	1525	1528	140	med_exam
9	1529	1532	150	med_exam
9	1599	1602	120	med_exam
9	2913	2917	13.7	med_exam
11	872	876	17.1	med_exam
11	919	922	一百多	med_exam
11	932	935	121	med_exam
11	940	942	29	med_exam
11	951	953	17	med_exam
11	963	965	17	med_exam
11	1218	1221	120	med_exam
11	1353	1356	120	med_exam
11	1755	1759	2540	med_exam
11	3434	3438	2540	med_exam
11	5618	5621	八公斤	med_exam
11	5697	5699	75	med_exam
11	5704	5706	63	med_exam
11	5707	5709	62	med_exam
11	5727	5730	十公斤	med_exam
11	5774	5776	63	med_exam
11	5787	5789	75	med_exam
11	5790	5794	63公斤	med_exam
13	958	960	一七	med_exam
13	965	968	一七五	med_exam
13	973	976	七十三	med_exam
13	1149	1152	一二五	med_exam
13	1153	1156	七十五	med_exam
13	1165	1168	一二五	med_exam
13	1169	1172	七十五	med_exam
14	529	532	349	med_exam
14	703	706	500	med_exam
15	648	650	47	med_exam
15	651	653	42	med_exam
15	666	669	0.2	med_exam
16	141	144	62公	med_exam
16	149	151	62	med_exam
16	163	168	173公分	med_exam
16	172	177	173公分	med_exam
16	266	269	263	med_exam
16	290	292	20	med_exam
16	405	408	200	med_exam
17	392	396	0.83	med_exam
17	408	410	87	med_exam
17	600	603	6.7	med_exam
17	608	611	6.7	med_exam
18	1020	1023	六十八	med_exam
21	25	29	72公斤	med_exam
21	77	81	1107	med_exam
21	86	90	1107	med_exam
21	99	105	1106.5	med_exam
21	110	114	1107	med_exam
21	132	136	1107	med_exam
21	198	200	89	med_exam
21	212	215	4.8	med_exam
21	216	219	4.8	med_exam
23	1389	1392	170	med_exam
23	1393	1396	180	med_exam
23	1400	1403	170	med_exam
23	1404	1407	180	med_exam
23	1639	1642	180	med_exam
23	1662	1665	170	med_exam
23	1666	1669	180	med_exam
23	2152	2155	120	med_exam
23	2156	2159	130	med_exam
24	137	139	59	med_exam
24	143	145	59	med_exam
26	157	159	55	med_exam
26	163	165	55	med_exam
26	176	179	162	med_exam
26	183	186	162	med_exam
26	454	457	497	med_exam
26	466	469	497	med_exam
26	541	545	700多	med_exam
26	642	644	30	med_exam
26	1123	1126	140	med_exam
27	276	281	0．125	med_exam
27	288	290	10	med_exam
28	146	148	四十	med_exam
28	149	152	四十三	med_exam
28	559	562	八十九	med_exam
28	604	607	七十一	med_exam
29	27	31	0．42	med_exam
29	32	35	90分	med_exam
29	42	44	12	med_exam
29	49	52	2．1	med_exam
29	56	59	2．1	med_exam
30	36	39	935	med_exam
32	149	153	9.53	med_exam
32	158	162	9.53	med_exam
33	161	164	690	med_exam
34	444	447	901	med_exam
36	13	18	41358	med_exam
36	39	42	256	med_exam
36	99	102	195	med_exam
36	957	960	172	med_exam
36	965	967	59	med_exam
36	968	970	60	med_exam
36	974	976	59	med_exam
36	977	979	60	med_exam
37	89	92	130	med_exam
41	579	584	五百九十三	med_exam
41	585	590	五百九十三	med_exam
41	600	605	五八六點七	med_exam
41	618	620	四百	med_exam
41	635	637	五百	med_exam
43	191	192	4	med_exam
43	193	196	632	med_exam
43	248	251	500	med_exam
44	286	289	400	med_exam
44	301	305	400多	med_exam
44	358	361	200	med_exam
44	369	372	455	med_exam
44	384	385	2	med_exam
44	387	390	221	med_exam
44	391	394	222	med_exam
44	494	497	7.5	med_exam
44	531	533	98	med_exam
44	540	542	98	med_exam
45	54	58	2750	med_exam
45	96	98	10	med_exam
45	1451	1454	0.5	med_exam
45	1507	1511	67.5	med_exam
45	1604	1607	0.5	med_exam
45	1613	1616	四公斤	med_exam
45	1723	1726	0.5	med_exam
45	1745	1748	0.5	med_exam
45	1773	1775	63	med_exam
45	1789	1791	63	med_exam
45	1808	1812	67.5	med_exam
45	1823	1827	67.5	med_exam
45	1833	1835	68	med_exam
45	2075	2077	62	med_exam
45	2078	2080	63	med_exam
45	2105	2107	61	med_exam
45	2261	2265	一兩公斤	med_exam
47	130	133	九十公	med_exam
48	218	221	120	med_exam
48	247	250	100	med_exam
48	649	652	140	med_exam
48	1233	1235	14	med_exam
48	1692	1694	53	med_exam
48	1706	1708	53	med_exam
48	1709	1711	48	med_exam
51	1254	1256	18	med_exam
51	1627	1633	1.2000	med_exam
51	1640	1646	1.2000	med_exam
54	51	55	一百零四	med_exam
54	77	82	一百一十五	med_exam
54	219	222	一點四	med_exam
54	537	540	一百零	med_exam
54	561	566	一百二十八	med_exam
55	537	540	188	med_exam
55	558	561	十一萬	med_exam
55	570	573	十五萬	med_exam
55	1041	1044	兩百多	med_exam
55	1061	1063	兩百	med_exam
55	1065	1069	兩百零七	med_exam
55	1090	1092	十五	med_exam
58	23	25	10	med_exam
58	41	42	8	med_exam
59	165	169	38.2	med_exam
59	679	683	38.2	med_exam
59	684	688	37.9	med_exam
59	694	698	38.2	med_exam
59	702	705	379	med_exam
59	706	709	382	med_exam
59	1119	1122	139	med_exam
60	1990	1993	160	med_exam
61	62	65	2.5	med_exam
62	131	133	58	med_exam
62	170	173	175	med_exam
62	177	180	175	med_exam
62	187	190	175	med_exam
62	198	201	174	med_exam
62	1222	1225	150	med_exam
62	1229	1232	150	med_exam
63	158	161	138	med_exam
63	173	176	7．9	med_exam
63	185	188	130	med_exam
63	205	208	7．9	med_exam
63	236	241	14600	med_exam
63	253	257	4900	med_exam
63	358	362	1．44	med_exam
63	1058	1062	2100	med_exam
64	35	39	900多	med_exam
65	290	293	九十二	med_exam
65	294	299	一百三十一	med_exam
65	1750	1753	七百二	med_exam
67	2903	2907	37.3	med_exam
67	2913	2917	37.3	med_exam
67	2923	2927	37.3	med_exam
67	2928	2932	37.4	med_exam
68	1125	1127	15	med_exam
68	1128	1130	16	med_exam
68	1144	1146	16	med_exam
68	1150	1152	15	med_exam
70	49	52	414	med_exam
70	53	56	356	med_exam
70	60	62	26	med_exam
70	63	65	50	med_exam
72	162	167	37度點2	med_exam
72	431	436	4.9公分	med_exam
72	497	503	4.01公分	med_exam
72	618	622	27.3	med_exam
72	627	630	2.6	med_exam
72	634	637	2.6	med_exam
72	641	644	2.6	med_exam
72	674	678	2100	med_exam
72	680	684	2900	med_exam
73	92	95	889	med_exam
75	561	564	4.5	med_exam
75	568	571	4.5	med_exam
75	680	683	435	med_exam
75	687	690	435	med_exam
75	723	726	4.5	med_exam
75	1410	1413	1.1	med_exam
75	1431	1434	0.幾	med_exam
75	1439	1442	0.幾	med_exam
75	1450	1453	1.1	med_exam
75	1457	1460	1.1	med_exam
77	887	890	4.6	med_exam
77	900	904	4.50	med_exam
79	330	334	39.5	med_exam
79	356	358	22	med_exam
79	1288	1290	35	med_exam
79	1299	1301	35	med_exam
79	1510	1514	四十幾時	med_exam
79	1798	1801	102	med_exam
79	1809	1812	102	med_exam
80	1228	1230	25	med_exam
