article_id	start_position	end_position	entity_text	entity_type
5	903	905	消毒	profession
5	912	914	消毒	profession
10	278	284	GOOGLE	profession
11	165	171	Google	profession
11	1299	1301	學校	profession
11	1613	1615	學校	profession
11	1675	1681	Google	profession
11	4573	4575	學生	profession
11	4904	4906	學校	profession
11	4924	4926	老師	profession
11	4990	4992	學生	profession
12	109	111	消毒	profession
12	135	137	板金	profession
18	365	367	急診	profession
18	1700	1702	急診	profession
18	1728	1730	急診	profession
19	46	48	急診	profession
19	78	80	急診	profession
19	908	910	急診	profession
25	94	96	急診	profession
40	147	149	消毒	profession
42	609	610	勞	profession
42	793	794	勞	profession
42	1450	1452	工會	profession
45	997	1003	台中生物科技	profession
45	1020	1026	台中生物科技	profession
47	906	909	台積電	profession
47	908	910	電工	profession
56	215	217	肝膽	profession
61	1496	1497	勞	profession
65	578	580	老師	profession
65	1629	1631	老師	profession
65	1856	1858	老師	profession
67	10	12	急診	profession
67	40	42	急診	profession
67	47	49	急診	profession
67	680	682	急診	profession
67	874	876	急診	profession
67	1256	1258	急診	profession
67	1263	1265	急診	profession
67	1274	1276	急診	profession
67	1303	1305	急診	profession
67	2651	2653	急診	profession
67	2685	2687	急診	profession
70	1766	1768	急診	profession
70	1777	1779	急診	profession
70	1876	1878	保險	profession
77	1264	1266	錄音	profession
79	1566	1568	急診	profession
79	1728	1730	急診	profession
81	1624	1626	急診	profession
83	2217	2219	急診	profession
83	2796	2798	急診	profession
83	2800	2802	急診	profession
83	3266	3268	急診	profession
83	3288	3290	急診	profession
83	3469	3471	急診	profession
85	1411	1412	勞	profession
85	1494	1496	公務	profession
85	1572	1574	工地	profession
85	1588	1590	工地	profession
85	1602	1604	工地	profession
87	45	47	學校	profession
87	703	705	宣傳	profession
90	367	368	勞	profession
90	376	377	勞	profession
90	979	980	勞	profession
100	1164	1166	教師	profession
105	20	23	台積電	profession
107	1177	1178	勞	profession
107	1189	1190	勞	profession
108	2567	2569	消毒	profession
108	2587	2589	消毒	profession
108	2590	2592	消毒	profession
108	2628	2630	消毒	profession
108	2658	2660	消毒	profession
111	738	739	勞	profession
113	1106	1108	保險	profession
113	1596	1598	保險	profession
113	1599	1602	業務員	profession
115	754	756	學校	profession
115	2393	2395	警察	profession
116	1190	1192	保險	profession
116	1260	1262	保險	profession
124	110	112	保險	profession
127	131	133	學生	profession
127	682	684	保險	profession
129	45	47	老師	profession
130	378	381	替代役	profession
132	768	770	保險	profession
132	1066	1068	保險	profession
136	803	805	保險	profession
141	539	541	保險	profession
141	586	588	保險	profession
141	1405	1407	保險	profession
144	675	677	保險	profession
145	555	557	老師	profession
146	199	201	保險	profession
148	658	660	保險	profession
149	1260	1262	保險	profession
149	1425	1427	保險	profession
150	1038	1040	保險	profession
151	28	31	台積電	profession
151	30	32	電工	profession
152	1451	1453	保險	profession
152	2151	2153	保險	profession
153	432	434	保險	profession
153	2435	2437	保險	profession
157	1075	1077	保險	profession
157	1133	1135	保險	profession
158	797	799	保險	profession
158	883	885	保險	profession
