	article_id	start_position	end_position	entity_text	entity_type	source
40	2	1151	1155	450塊	money	bert
43	2	1394	1398	450塊	money	bert
79	5	188	193	10600	money	bert
80	5	197	202	10600	money	bert
81	5	206	211	10600	money	bert
82	5	217	222	10600	money	bert
83	5	232	236	9700	money	bert
151	7	373	375	30	money	bert
169	7	1128	1132	800塊	money	bert
170	7	1136	1140	800塊	money	bert
178	8	525	528	五千五	money	bert
180	8	553	557	一萬五千	money	bert
186	8	882	885	三百塊	money	bert
208	10	463	466	幾千塊	money	bert
209	10	694	698	100塊	money	bert
240	11	1755	1759	2540	money	bert
245	11	3434	3438	2540	money	bert
309	14	900	903	三百塊	money	bert
343	16	794	799	1500元	money	bert
386	18	1836	1839	625	money	bert
408	19	1589	1593	三十二塊	money	bert
459	23	1166	1170	215塊	money	bert
528	28	948	951	二十三	money	bert
719	41	666	668	五百	money	bert
750	43	248	251	500	money	bert
780	45	257	259	五萬	money	bert
976	55	570	573	十五萬	money	bert
1107	62	1313	1316	500	money	bert
1108	62	1365	1368	500	money	bert
1110	62	1454	1458	150塊	money	bert
1121	63	268	272	4900	money	bert
1129	63	1058	1062	2100	money	bert
1148	65	1432	1436	三百三百	money	bert
1158	65	2114	2117	七百二	money	bert
1210	67	2335	2338	十塊錢	money	bert
1239	67	3221	3227	兩百二十八塊	money	bert
1240	67	3242	3244	十塊	money	bert
1308	70	980	984	1300	money	bert
1309	70	996	1000	1300	money	bert
1311	70	1288	1292	1300	money	bert
1391	75	852	856	1200	money	bert
1392	75	864	868	1200	money	bert
1393	75	979	983	2000	money	bert
1407	76	1850	1854	兩千多塊	money	bert
1434	77	1288	1294	3000塊錢	money	bert
1435	77	1336	1341	3000塊	money	bert
1664	85	629	632	兩千五	money	bert
1773	91	4	13	184058370	money	bert
1801	92	764	767	兩百六	money	bert
1807	92	940	942	兩百	money	bert
1808	92	955	958	一百八	money	bert
1809	92	973	976	七十塊	money	bert
1810	92	984	987	七十塊	money	bert
1951	100	84	88	2600	money	bert
1952	100	93	97	2600	money	bert
1953	100	124	127	兩千七	money	bert
1954	100	128	131	兩千六	money	bert
1956	100	172	174	一千	money	bert
2072	107	1912	1917	250cc	money	bert
2239	114	2103	2107	6615	money	bert
2240	114	2271	2275	六千多塊	money	bert
2370	122	1387	1391	3500	money	bert
2371	122	1392	1396	4500	money	bert
2372	122	1414	1420	12500多	money	bert
2374	122	1440	1444	250塊	money	bert
2375	122	1461	1465	250塊	money	bert
2376	122	1486	1491	12500	money	bert
2377	122	1495	1499	3500	money	bert
2378	122	1500	1504	4500	money	bert
2379	122	1753	1758	12500	money	bert
2380	122	1777	1781	5000	money	bert
2383	122	1818	1825	12500多塊	money	bert
2426	127	489	492	300	money	bert
2489	131	370	373	858	money	bert
2530	133	749	753	3200	money	bert
2531	133	785	790	5000多	money	bert
2532	133	792	797	6000塊	money	bert
2534	133	828	832	兩萬多塊	money	bert
2555	135	971	974	兩千二	money	bert
2556	135	991	993	一萬	money	bert
2557	135	1000	1002	七千	money	bert
2559	135	1019	1021	七千	money	bert
2561	135	1373	1375	兩千	money	bert
2562	135	1377	1380	兩千五	money	bert
2636	140	579	581	30	money	bert
2644	140	1192	1197	四百一十四	money	bert
2645	140	1207	1210	一萬三	money	bert
2646	140	1227	1230	一萬三	money	bert
2662	141	1159	1163	6700	money	bert
2663	141	1166	1170	6700	money	bert
2664	141	1171	1175	6500	money	bert
2763	146	1210	1214	九百多塊	money	bert
2848	150	2183	2187	414塊	money	bert
2859	150	3548	3551	一萬三	money	bert
2860	150	3606	3609	一萬三	money	bert
2861	150	3655	3658	一萬三	money	bert
2923	152	845	848	一百二	money	bert
2924	152	969	972	一千九	money	bert
2931	152	1733	1736	一萬三	money	bert
2970	153	1436	1439	一萬五	money	bert
2972	153	1587	1591	680塊	money	bert
2973	153	1599	1602	600	money	bert
2974	153	1675	1679	1600	money	bert
2975	153	1690	1693	60塊	money	bert
3008	155	1092	1095	510	money	bert
3009	155	1105	1108	一萬五	money	bert
3010	155	1171	1174	一萬五	money	bert
3011	155	1203	1207	五千多塊	money	bert
3012	155	1260	1263	一萬五	money	bert
3042	157	1298	1304	五百五十二塊	money	bert
3044	157	1371	1374	一萬六	money	bert
3045	157	1381	1384	一萬六	money	bert
3046	157	1403	1406	一萬六	money	bert
3047	157	1407	1410	九十顆	money	bert
3048	157	1480	1485	五千五百塊	money	bert
3049	157	1524	1527	七百塊	money	bert
3050	157	1544	1547	七百塊	money	bert
3051	157	1589	1592	五千塊	money	bert
3056	157	1894	1897	一千八	money	bert
3057	157	1955	1958	一千八	money	bert
3058	157	1959	1962	五千五	money	bert
