	article_id	start_position	end_position	entity_text	entity_type	source
194	9	861	863	媽媽	family	bert
236	11	1425	1427	爺爺	family	bert
487	25	602	604	兒子	family	bert
704	39	1410	1412	老媽	family	bert
706	39	1421	1423	爸爸	family	bert
745	42	1519	1521	女兒	family	bert
968	54	658	660	叔叔	family	bert
969	54	661	663	阿姨	family	bert
1036	58	1006	1008	兒子	family	bert
1047	58	1761	1763	兒子	family	bert
1111	62	1768	1770	哥哥	family	bert
1293	69	553	555	爸爸	family	bert
1294	69	608	610	女兒	family	bert
1410	76	2237	2239	女兒	family	bert
1426	77	711	713	弟弟	family	bert
1443	77	2001	2003	哥哥	family	bert
1444	77	2018	2020	爸爸	family	bert
1477	79	1626	1628	媽媽	family	bert
1502	81	207	209	女兒	family	bert
1700	85	2908	2910	兒子	family	bert
2145	110	434	436	爸爸	family	bert
2146	110	437	439	媽媽	family	bert
2309	119	705	707	公公	family	bert
2736	145	555	557	老師	family	bert
